cost,SR,IR,max_value,operation_time
52.0,33.13487908218161,132.38777003561705,216.8651209178184,155.84554195404053
54.0,33.13487908218161,132.38777003561705,191.09158279099077,17.77529549598694
56.0,33.13487908218161,132.38777003561705,188.3817500006984,17.428423166275024
59.0,33.13487908218161,132.38777003561705,172.97254499213736,20.31370496749878
65.0,33.13487908218161,132.38777003561705,169.58870184419519,20.242783546447754
71.0,33.13487908218161,132.38777003561705,125.85633951270637,24.127511978149414
73.0,33.13487908218161,132.38777003561705,183.5618914364596,18.549938678741455
75.0,33.13487908218161,132.38777003561705,175.0482222062498,18.765891551971436
84.0,33.13487908218161,132.38777003561705,175.53190134203737,22.002188444137573
91.0,33.13487908218161,132.38777003561705,192.60999263192596,23.86467933654785
98.0,33.13487908218161,132.38777003561705,187.98483100701483,24.97334909439087
106.0,33.13487908218161,132.38777003561705,195.08566312572592,25.24141240119934
110.0,33.13487908218161,132.38777003561705,170.87101961174127,20.81272268295288
117.0,33.13487908218161,132.38777003561705,127.03978858843723,25.010440587997437
126.0,33.13487908218161,132.38777003561705,129.30683071193815,28.700762271881104
129.0,33.13487908218161,132.38777003561705,171.68739555487616,23.48517870903015
134.0,33.13487908218161,132.38777003561705,192.4291625757177,26.484787225723267
142.0,33.13487908218161,132.38777003561705,130.68210770007127,24.37074089050293
150.0,32.37121191180529,132.38777003561705,217.6287880881947,25.65159010887146
