cost,SR,IR,max_value,operation_time
53.0,39.70314382477332,133.6449304013795,210.29685617522668,170.32116842269897
59.0,39.70314382477332,133.6449304013795,169.58870184419428,21.87120485305786
65.0,39.70314382477332,133.6449304013795,125.8563395122689,20.950325965881348
67.0,39.70314382477332,133.6449304013795,183.56189143646128,13.808635711669922
69.0,39.70314382477332,133.6449304013795,189.4143901697023,17.87594771385193
78.0,39.70314382477332,133.6449304013795,175.53190134203712,21.177277326583862
85.0,39.70314382477332,133.6449304013795,192.60999263226188,21.564817428588867
92.0,39.70314382477332,133.6449304013795,187.9848310070184,20.27953839302063
100.0,39.70314382477332,133.6449304013795,195.0856631244505,22.2131564617157
104.0,39.70314382477332,133.6449304013795,170.87101961174037,16.75144910812378
111.0,39.70314382477332,133.6449304013795,127.0397885883386,22.570096254348755
120.0,39.70314382477332,133.6449304013795,129.30683071193985,23.178338289260864
123.0,39.70314382477332,133.6449304013795,171.68739555487565,15.809727430343628
128.0,39.70314382477332,133.6449304013795,192.42916257571753,20.096987009048462
136.0,39.70314382477332,133.6449304013795,130.68210770007013,23.051246881484985
144.0,32.37121191281108,133.6449304013795,217.62878808718892,22.95056986808777
150.0,32.37121191281108,133.6449304013795,211.63891113520214,21.139134168624878
