cost,incumbents,operation_time
50.0,12.339183538302995,0.0
59.53488316815309,12.339183538302995,31.11368203163147
69.40684454326596,12.339183538302995,60.19580268859863
79.3922466222665,12.339183538302995,88.0263032913208
87.97840125666501,12.339183538302995,115.20533895492554
97.97840125666501,12.339183538302995,140.42096781730652
106.27211194008288,12.339183538302995,165.10663652420044
116.25628288075656,12.339183538302995,189.1197714805603
125.0363346764405,12.339183538302995,211.5611343383789
133.8887550024854,12.339183538302995,235.9080102443695
141.16245006574812,12.339183538302995,261.61769104003906
149.27548762249776,12.339183538302995,286.4023826122284
157.78498196147717,12.339183538302995,309.78609108924866
166.44573793151525,12.339183538302995,332.09855818748474
175.6131468464739,12.339183538302995,354.95428109169006
183.79747697784276,12.339183538302995,378.2578327655792
189.62420569925033,12.339183538302995,401.6614592075348
197.59132941774536,12.339183538302995,425.56234097480774
206.78327869159378,12.339183538302995,449.7783284187317
212.5265222387036,12.339183538302995,477.4260847568512
218.38558595899863,12.339183538302995,505.8260633945465
227.33791414021582,12.339183538302995,534.1180777549744
235.3846371662095,12.339183538302995,562.8310599327087
243.24066748428783,12.339183538302995,591.5208804607391
250.4024793218249,12.339183538302995,620.5662484169006
260.30575084117106,12.339183538302995,650.1163039207458
265.1723462793248,12.339183538302995,679.6775598526001
274.1247803316658,12.339183538302995,709.4197340011597
278.190630861595,12.339183538302995,739.2975177764893
284.845041248429,12.339183538302995,770.3274991512299
289.6373941745771,12.339183538302995,801.3933823108673
296.0982368085102,12.339183538302995,832.6170604228973
301.64923608661314,12.339183538302995,864.0706751346588
