cost,incumbents,operation_time
50.0,139.27740478515625,0.0
54.826260501190305,139.2774180839462,83.37371778488159
64.57417818043182,139.2774180839462,161.73526287078857
68.21043486749389,139.2774180839462,241.80425095558167
74.73217770122183,139.2774180839462,328.41640305519104
79.49268422745926,145.00917819625533,412.93880105018616
89.18932063497228,145.00917819625533,497.04873967170715
96.08538731880085,145.00917819625533,580.5926721096039
105.776872527024,145.00917819625533,667.285094499588
107.83141426209731,145.00917819625533,754.9632108211517
114.37458229827152,145.00917819625533,844.6387729644775
118.63549252278294,145.00917819625533,934.976268529892
125.03602515790931,145.00917819625533,1028.519040107727
131.10813507571174,145.00917819625533,1119.6906049251556
139.7984267030187,145.00917819625533,1212.456064939499
149.19943924324195,145.00917819625533,1307.1437339782715
151.2996747126004,145.00917819625533,1401.6955296993256
157.97914352561514,145.00917819625533,1495.433818101883
160.43398943742937,145.00917819625533,1594.1679186820984
166.78487271927565,145.00917819625533,1695.9522001743317
169.43938149982813,145.00917819625533,1799.8126351833344
173.86369157524805,145.00917819625533,1901.9385228157043
180.86981863547732,145.00917819625533,2006.3428416252136
184.48162566882257,145.00917819625533,2114.7717900276184
194.43891202976948,145.00917819625533,2220.5580813884735
204.0145464327305,145.00917819625533,2328.983370065689
212.82159288074396,145.00917819625533,2439.538990020752
221.83448793160605,145.00917819625533,2554.8267958164215
230.94084645770482,145.00917819625533,2669.8393092155457
239.2835208182215,145.00917819625533,2786.086796283722
248.7079877312528,145.00917819625533,2901.9749042987823
258.5559939637338,145.00917819625533,3018.912994146347
267.78081246724616,145.00917819625533,3133.539393901825
276.8456613464719,145.00917819625533,3248.744211435318
286.81836351549856,145.00917819625533,3365.030641555786
296.6429061926841,145.00917819625533,3483.0057258605957
304.26625616044566,145.00917819625533,3595.4404361248016
