wallclocktime,err
50.18405222892761,0.09459285372760129
88.15600371360779,0.0940397769360165
148.79895722866058,0.08124097301877109
175.18056094646454,0.08124097301877109
205.3936369419098,0.08124097301877109
242.236132979393,0.08124097301877109
276.93013894557953,0.07679282350347205
350.97364377975464,0.07679282350347205
326.9632443189621,0.07679282350347205
376.34371173381805,0.07679282350347205
391.1302852630615,0.07679282350347205
446.4198454618454,0.07623107585513234
493.10336577892303,0.07623107585513234
497.91963589191437,0.07623107585513234
537.8712589740753,0.07623107585513234
564.7384388446808,0.07623107585513234
611.5755732059479,0.07623107585513234
636.3591777086258,0.07568171514501387
689.9891070127487,0.07568171514501387
751.5232714414597,0.07568171514501387
741.3071200847626,0.07568171514501387
775.627309679985,0.07066934059373065
833.8180739879608,0.07066934059373065
855.0654864311218,0.07066934059373065
901.8608317375183,0.07066934059373065
933.7696079015732,0.07066934059373065
962.3510409593582,0.07066934059373065
1009.4447059631348,0.07066934059373065
1039.4385532140732,0.07066934059373065
1084.0824303627014,0.07066934059373065
1093.42132127285,0.07066934059373065
1125.0956783294678,0.07066934059373065
1152.902694940567,0.07066934059373065
1190.6511608362198,0.07066934059373065
1225.388067126274,0.07066934059373065
1243.9099239110947,0.07066934059373065
1295.9151116609573,0.07066934059373065
1352.519030570984,0.06955761288836149
1345.1779996156693,0.06955761288836149
1413.3322982788086,0.06677488721692748
1425.4041534662247,0.06677488721692748
1471.6663060188293,0.06677488721692748
1480.4784758090973,0.06677488721692748
1503.490116238594,0.06677488721692748
1551.6341061592102,0.06677488721692748
1567.9887179136276,0.06677488721692748
1622.2202498912811,0.06677488721692748
1629.0980583429337,0.06677488721692748
1688.9637846946716,0.06677488721692748
1707.0748876333237,0.06677488721692748
1724.7948648929596,0.06677488721692748
1752.5453897714615,0.06677488721692748
1810.7102925777435,0.06677488721692748
1843.6104410886765,0.06677488721692748
1876.7453122138977,0.06677488721692748
1906.4110670089722,0.06677488721692748
1929.6798561811447,0.06677488721692748
1977.2777613401413,0.06677488721692748
2017.8191566467285,0.06677488721692748
2010.3144900798798,0.06677488721692748
2074.7236765623093,0.06677488721692748
2099.18328666687,0.06677488721692748
2129.13512134552,0.06677488721692748
2153.489821791649,0.06677488721692748
2209.4226636886597,0.06677488721692748
2207.534642457962,0.06677488721692748
2268.9019767045975,0.06677488721692748
2278.150735259056,0.06677488721692748
2323.6559079885483,0.06677488721692748
2347.3143162727356,0.06677488721692748
2391.7642399072647,0.06677488721692748
2470.455819129944,0.06677488721692748
2448.3299379348755,0.06677488721692748
2512.8339022397995,0.06677488721692748
2550.1388535499573,0.06677488721692748
2578.028127551079,0.06565696604244753
2592.617459654808,0.06565696604244753
2629.543759226799,0.06565696604244753
2684.7554066181183,0.06565696604244753
2681.5980957746506,0.06565696604244753
2728.862409710884,0.06565696604244753
2765.7400546073914,0.06565696604244753
2790.2184035778046,0.06565696604244753
2804.0529057979584,0.06565696604244753
2852.326215863228,0.06565696604244753
2885.1899666786194,0.06565696604244753
2916.834829568863,0.06565696604244753
2945.5058555603027,0.06565696604244753
2990.892358779907,0.06565696604244753
3000.8789714574814,0.06565696604244753
3062.948180913925,0.06565696604244753
3115.9650781154633,0.06565696604244753
3161.779071688652,0.06565696604244753
3176.777330160141,0.06565696604244753
3196.7600531578064,0.06565696604244753
3214.2077174186707,0.06565696604244753
3250.456328511238,0.06565696604244753
3273.099216222763,0.06565696604244753
3373.664204478264,0.06565696604244753
3348.8082463741302,0.06565696604244753
