cost,SR,IR,rmse,max_value,operation_time
31.0,35.46614376644025,45.56388971199002,13.00905775225678,12.917485078774595,1.433901309967041
36.0,35.46614376644025,52.44809062424661,13.636044396186916,12.917485078774595,1.4601202011108398
37.0,35.46614376644025,49.18822803343436,12.760455910399303,12.917485078774595,1.4390254020690918
38.0,35.46614376644025,49.199090455289586,12.753328262536938,12.917485078774595,1.439293622970581
39.0,33.31024066251726,48.845569219386405,12.699751484743816,15.073388182697583,1.4322495460510254
44.0,33.31024066251726,47.864605091798424,12.617492363376938,15.073388182697583,1.4408001899719238
49.0,33.31024066251726,46.53593037101599,12.63088436581588,15.073388182697583,1.4401497840881348
54.0,33.31024066251726,41.70600768705296,12.658372605998636,15.073388182697583,1.443854808807373
59.0,33.31024066251726,48.76002695377737,14.146759863724704,15.073388182697583,1.440084457397461
64.0,33.31024066251726,51.97340590896442,15.527286175303098,15.073388182697583,1.449098825454712
69.0,33.31024066251726,40.87483560064908,17.460316220068652,15.073388182697583,1.4508695602416992
74.0,33.31024066251726,9.866684291538029,9.971252988137635,15.073388182697583,1.455035924911499
79.0,33.31024066251726,46.79120942971904,12.443883363757353,15.073388182697583,1.4513981342315674
84.0,32.89935133466451,46.91552730191234,12.557406446854898,15.484277510550335,1.463331699371338
85.0,32.89935133466451,46.966109506992765,12.620182644900087,15.484277510550335,1.442216396331787
86.0,32.89935133466451,46.953818097056065,12.680774295169561,15.484277510550335,1.4542863368988037
91.0,32.89935133466451,46.95993946936073,12.670696993537124,15.484277510550335,1.4590115547180176
92.0,32.89935133466451,46.970405780475566,12.68694935240948,15.484277510550335,1.4582643508911133
93.0,32.89935133466451,46.96454060293526,12.726403545557568,15.484277510550335,1.463627815246582
94.0,32.89935133466451,46.95223938023328,12.753240959727071,15.484277510550335,1.4649434089660645
99.0,32.89935133466451,46.955965227439876,12.758817966764788,15.484277510550335,1.466167688369751
100.0,32.89935133466451,46.950263867842416,12.751721347936318,15.484277510550335,1.4577770233154297
101.0,32.89935133466451,46.96758011614604,12.779692123684896,15.484277510550335,1.461301326751709
102.0,32.89935133466451,46.967701813437024,12.780012465174778,15.484277510550335,1.4616353511810303
103.0,32.89935133466451,46.967171302080665,12.778940895464565,15.484277510550335,1.4807734489440918
104.0,32.89935133466451,46.96720479350853,12.77903012690343,15.484277510550335,1.4677865505218506
105.0,32.89935133466451,46.96702136711959,12.778646924876725,15.484277510550335,1.4722352027893066
110.0,32.89935133466451,46.96548489858742,12.776583268526,15.484277510550335,1.4713921546936035
111.0,32.89935133466451,46.965300867616456,12.776151571354415,15.484277510550335,1.479537010192871
116.0,32.89935133466451,46.96675981445397,12.778393110565531,15.484277510550335,1.4832816123962402
117.0,32.89935133466451,46.9674675375311,12.779592212806994,15.484277510550335,1.4935836791992188
122.0,32.89935133466451,46.96786429525331,12.780370245321958,15.484277510550335,1.4797487258911133
127.0,32.89935133466451,46.98625826141906,12.82129035736893,15.484277510550335,1.4884793758392334
128.0,32.89935133466451,46.972660706864126,12.785292405141515,15.484277510550335,1.485008955001831
129.0,32.89935133466451,46.972798678014,12.781132781121528,15.484277510550335,1.4908246994018555
134.0,32.89935133466451,46.95936853878208,12.756033602426363,15.484277510550335,1.4938709735870361
139.0,32.89935133466451,46.988714844039535,12.837127445548408,15.484277510550335,1.5014710426330566
144.0,32.89935133466451,46.9905242919618,12.864894272848977,15.484277510550335,1.4976601600646973
149.0,32.89935133466451,46.96656661578943,12.770603052434545,15.484277510550335,1.4930493831634521
150.0,32.89935133466451,46.98286742293959,12.793498026757533,15.484277510550335,1.5048656463623047
