cost,SR,operation_time,time
0.0,2.0,869.8109669685364,869.8109669685364
1.0,-0.09920000000000018,5.4388086795806885,0.20609116554260254
10.0,-0.09920000000000018,0.495729923248291,0.23345208168029785
14.0,-0.09920000000000018,0.30934882164001465,0.1976010799407959
16.0,-0.09920000000000018,0.3959779739379883,0.1993091106414795
18.0,-0.09920000000000018,0.21262717247009277,0.19958877563476562
23.0,-0.09920000000000018,0.2948479652404785,0.19573116302490234
29.0,-0.36160000000000014,0.2631092071533203,0.19018077850341797
30.0,-0.36160000000000014,0.23415684700012207,0.2520320415496826
31.0,-0.36160000000000014,0.3535339832305908,0.2146611213684082
36.0,-0.36160000000000014,0.24791193008422852,0.1952219009399414
40.0,-0.36160000000000014,0.20766377449035645,0.19362592697143555
41.0,-0.36160000000000014,0.20638012886047363,0.21526098251342773
43.0,-0.4093,0.1704730987548828,0.19099903106689453
46.0,-0.4093,0.1675877571105957,0.19708013534545898
53.0,-0.4093,0.20763111114501953,0.2167067527770996
54.0,-0.4093,0.20634102821350098,0.21777915954589844
55.0,-0.4093,0.17993521690368652,0.20637989044189453
63.0,-0.4093,0.21818900108337402,0.21648931503295898
66.0,-0.4093,0.17806792259216309,0.20755696296691895
68.0,-0.4093,0.2031691074371338,0.22812795639038086
69.0,-0.4093,0.17209196090698242,0.19246482849121094
73.0,-0.4093,0.17558503150939941,0.21497583389282227
79.0,-0.4093,0.1888110637664795,0.26882505416870117
80.0,-0.4093,0.20250892639160156,0.2341752052307129
81.0,-0.4093,0.18525195121765137,0.21429014205932617
88.0,-0.4093,0.21489381790161133,0.23430776596069336
92.0,-0.4093,0.17895984649658203,0.19561386108398438
94.0,-0.4093,0.14904022216796875,0.20199203491210938
96.0,-0.4093,0.1355757713317871,0.21309185028076172
99.0,-0.4093,0.14854812622070312,0.19927287101745605
108.0,-0.4093,0.22734427452087402,0.2214038372039795
109.0,-0.4093,0.1453700065612793,0.21811628341674805
110.0,-0.4093,0.15506720542907715,0.2554800510406494
119.0,-0.4093,0.22965192794799805,0.21632623672485352
122.0,-0.4093,0.14994406700134277,0.2091660499572754
124.0,-0.4093,0.14558815956115723,0.21326899528503418
126.0,-0.4093,0.14699196815490723,0.20353102684020996
131.0,-0.4093,0.1609342098236084,0.2011888027191162
138.0,-0.4093,0.20299386978149414,0.20801305770874023
147.0,-0.4093,0.22152090072631836,0.1981360912322998
154.0,-0.46950000000000003,0.1911931037902832,0.19713211059570312
159.0,-0.46950000000000003,0.16852188110351562,0.21258807182312012
165.0,-0.46950000000000003,0.1770317554473877,0.19828104972839355
172.0,-0.5839000000000003,0.18630695343017578,0.18808817863464355
178.0,-0.5925000000000002,0.16262078285217285,0.20504188537597656
180.0,-0.6384000000000003,0.17430830001831055,0.19424223899841309
188.0,-0.6384000000000003,0.18595290184020996,0.21059298515319824
190.0,-0.6384000000000003,0.14179611206054688,0.20978307723999023
192.0,-0.6384000000000003,0.2981250286102295,0.2062058448791504
194.0,-0.7566999999999999,0.22662806510925293,0.19266724586486816
196.0,-0.7566999999999999,822.9501912593842,0.203568696975708
199.0,-0.7566999999999999,0.25140810012817383,0.19235920906066895
204.0,-0.7566999999999999,0.2345259189605713,0.20080113410949707
