cost,SR,max_value,operation_time
50.0,-0.3644000000000003,2.3644000000000003,0.0
51.0,-0.7547000000000001,2.7547,15.760278701782227
52.0,-0.7547000000000001,2.7547,3.5191328525543213
53.0,-0.7547000000000001,2.7547,3.5246946811676025
54.0,-0.7547000000000001,2.7547,3.5295090675354004
55.0,-0.7547000000000001,2.7547,3.588075876235962
56.0,-0.7547000000000001,2.7547,3.4744722843170166
57.0,-0.7680000000000002,2.7680000000000002,3.516474962234497
58.0,-0.7680000000000002,2.7680000000000002,3.551283597946167
59.0,-0.7680000000000002,2.7680000000000002,3.5797247886657715
60.0,-0.7680000000000002,2.7680000000000002,3.506608724594116
61.0,-0.7680000000000002,2.7680000000000002,3.6096560955047607
62.0,-0.7680000000000002,2.7680000000000002,3.665644645690918
63.0,-0.7680000000000002,2.7680000000000002,3.569343328475952
64.0,-0.7680000000000002,2.7680000000000002,3.5692453384399414
65.0,-0.7680000000000002,2.7680000000000002,3.684445858001709
66.0,-0.7680000000000002,2.7680000000000002,3.5718815326690674
67.0,-0.7680000000000002,2.7680000000000002,3.7816109657287598
68.0,-0.8130999999999999,2.8131,3.626708984375
69.0,-0.8130999999999999,2.8131,3.7647156715393066
70.0,-0.8130999999999999,2.8131,3.713709831237793
71.0,-0.8130999999999999,2.8131,3.6147966384887695
72.0,-0.8130999999999999,2.8131,3.6642050743103027
73.0,-0.8130999999999999,2.8131,3.7232353687286377
74.0,-0.8130999999999999,2.8131,4.221282720565796
75.0,-0.8130999999999999,2.8131,4.130923748016357
76.0,-0.8130999999999999,2.8131,4.159356594085693
77.0,-0.8130999999999999,2.8131,4.1474528312683105
78.0,-0.8130999999999999,2.8131,4.270087242126465
79.0,-0.8130999999999999,2.8131,4.166987419128418
80.0,-0.8130999999999999,2.8131,4.1804258823394775
81.0,-0.8130999999999999,2.8131,4.2033774852752686
82.0,-0.8130999999999999,2.8131,4.154409408569336
83.0,-0.8130999999999999,2.8131,4.612026214599609
84.0,-0.8130999999999999,2.8131,4.676410913467407
85.0,-0.8130999999999999,2.8131,4.638105869293213
86.0,-0.8130999999999999,2.8131,4.651338338851929
87.0,-0.8130999999999999,2.8131,4.62391471862793
88.0,-0.8130999999999999,2.8131,4.645338773727417
89.0,-0.8130999999999999,2.8131,4.635166883468628
90.0,-0.8130999999999999,2.8131,4.756991863250732
91.0,-0.8130999999999999,2.8131,4.693793058395386
