cost,SR,max_value,operation_time
50.0,-0.3339000000000003,2.3339000000000003,0.0
51.0,-0.3339000000000003,2.3339000000000003,15.644064903259277
52.0,-0.3339000000000003,2.3339000000000003,2.119950532913208
54.0,-0.3339000000000003,2.3339000000000003,2.175118923187256
57.0,-0.3339000000000003,2.3339000000000003,2.1160645484924316
61.0,-0.3339000000000003,2.3339000000000003,2.137073278427124
62.0,-0.3339000000000003,2.3339000000000003,2.0200822353363037
65.0,-0.3339000000000003,2.3339000000000003,2.022214889526367
67.0,-0.3339000000000003,2.3339000000000003,2.100783348083496
72.0,-0.3339000000000003,2.3339000000000003,2.476832866668701
77.0,-0.3339000000000003,2.3339000000000003,2.12868070602417
82.0,-0.3339000000000003,2.3339000000000003,2.4159371852874756
83.0,-0.3339000000000003,2.3339000000000003,2.0770955085754395
84.0,-0.3339000000000003,2.3339000000000003,2.454714298248291
86.0,-0.3339000000000003,2.3339000000000003,2.41365385055542
88.0,-0.3339000000000003,2.3339000000000003,2.029679298400879
89.0,-0.3339000000000003,2.3339000000000003,2.2975854873657227
90.0,-0.43850000000000033,2.4385000000000003,2.217700719833374
94.0,-0.43850000000000033,2.4385000000000003,2.2348811626434326
95.0,-0.43850000000000033,2.4385000000000003,2.3186113834381104
96.0,-0.43850000000000033,2.4385000000000003,2.0663223266601562
97.0,-0.43850000000000033,2.4385000000000003,2.0140841007232666
98.0,-0.43850000000000033,2.4385000000000003,2.116753578186035
105.0,-0.43850000000000033,2.4385000000000003,2.7512009143829346
106.0,-0.43850000000000033,2.4385000000000003,2.9807519912719727
107.0,-0.43850000000000033,2.4385000000000003,2.681809902191162
108.0,-0.43850000000000033,2.4385000000000003,7.3802490234375
109.0,-0.43850000000000033,2.4385000000000003,2.60270357131958
110.0,-0.43850000000000033,2.4385000000000003,2.65382719039917
112.0,-0.43850000000000033,2.4385000000000003,2.9218649864196777
114.0,-0.43850000000000033,2.4385000000000003,2.617250680923462
115.0,-0.43850000000000033,2.4385000000000003,2.6791512966156006
116.0,-0.43850000000000033,2.4385000000000003,2.6599159240722656
117.0,-0.43850000000000033,2.4385000000000003,2.727661609649658
120.0,-0.43850000000000033,2.4385000000000003,2.636030912399292
121.0,-0.43850000000000033,2.4385000000000003,9.171418905258179
122.0,-0.43850000000000033,2.4385000000000003,2.642153263092041
123.0,-0.43850000000000033,2.4385000000000003,3.0581624507904053
126.0,-0.43850000000000033,2.4385000000000003,2.805659770965576
131.0,-0.43850000000000033,2.4385000000000003,3.2099485397338867
132.0,-0.43850000000000033,2.4385000000000003,9.356709003448486
134.0,-0.4517000000000002,2.4517,2.6271626949310303
135.0,-0.4517000000000002,2.4517,2.6753008365631104
136.0,-0.4517000000000002,2.4517,2.895859956741333
138.0,-0.4517000000000002,2.4517,2.643357515335083
140.0,-0.4517000000000002,2.4517,2.82279896736145
141.0,-0.4517000000000002,2.4517,3.008058547973633
143.0,-0.4517000000000002,2.4517,2.7919116020202637
144.0,-0.4517000000000002,2.4517,2.6116809844970703
145.0,-0.4517000000000002,2.4517,7.659978151321411
147.0,-0.4517000000000002,2.4517,2.4818103313446045
149.0,-0.4517000000000002,2.4517,7.216313123703003
151.0,-0.4517000000000002,2.4517,2.3922572135925293
155.0,-0.4517000000000002,2.4517,2.4844603538513184
156.0,-0.4517000000000002,2.4517,2.3968756198883057
157.0,-0.4517000000000002,2.4517,2.3972830772399902
158.0,-0.4517000000000002,2.4517,2.498425245285034
159.0,-0.4517000000000002,2.4517,2.805603504180908
160.0,-0.4517000000000002,2.4517,2.6774818897247314
161.0,-0.4517000000000002,2.4517,2.2988951206207275
162.0,-0.4517000000000002,2.4517,2.1857359409332275
167.0,-0.4517000000000002,2.4517,2.2929320335388184
171.0,-0.4517000000000002,2.4517,2.2689461708068848
173.0,-0.4517000000000002,2.4517,2.1962945461273193
175.0,-0.4517000000000002,2.4517,2.1967897415161133
178.0,-0.4517000000000002,2.4517,2.2241642475128174
179.0,-0.7434000000000003,2.7434000000000003,2.2402257919311523
181.0,-0.7434000000000003,2.7434000000000003,2.4099297523498535
185.0,-0.7434000000000003,2.7434000000000003,2.3087165355682373
