cost,incumbents,operation_time
50.0,15.466661629332494,0.0
59.89632018060523,15.466661629332494,35.956780672073364
69.55977010268676,15.466661629332494,68.88210606575012
79.37071004583024,15.466661629332494,101.66723895072937
89.1598922289261,15.466661629332494,136.24308943748474
98.47473526262009,15.466661629332494,171.8945722579956
107.95524511059382,15.466661629332494,206.84693598747253
117.89197465467426,15.466661629332494,238.05964469909668
127.33092706677397,15.466661629332494,273.1678786277771
137.10426829691653,15.466661629332494,306.98968625068665
145.7654235284971,15.466661629332494,340.6118800640106
153.02774121518516,15.466661629332494,370.88420724868774
161.36318872543856,15.466661629332494,400.95852065086365
168.70882662852063,15.466661629332494,432.104532957077
175.8876587079844,15.466661629332494,466.50111722946167
183.82749572299048,15.466661629332494,499.6136131286621
189.64273540129517,15.466661629332494,531.9836800098419
196.00709093454125,15.466661629332494,566.1018948554993
202.19526429763303,15.466661629332494,599.4285113811493
208.71696112554758,15.466661629332494,634.8878185749054
215.56712376240029,15.466661629332494,668.3154928684235
220.6224950979528,15.466661629332494,702.7699184417725
225.20992688505916,15.466661629332494,737.7743444442749
229.917254001999,15.466661629332494,772.7716805934906
234.08573658750606,15.466661629332494,808.4718911647797
240.467170121113,15.466661629332494,843.9134685993195
245.32090026983957,15.466661629332494,877.8159832954407
250.4567629631348,15.466661629332494,912.3309321403503
255.23387315026065,15.466661629332494,947.4002363681793
259.92635186996563,15.466661629332494,982.6510789394379
265.2216473863409,15.466661629332494,1020.718906879425
269.6457213593998,15.466661629332494,1055.7420279979706
274.9032576980709,15.466661629332494,1089.7927720546722
280.56577485055215,15.466661629332494,1125.5373442173004
285.7281600124108,15.466661629332494,1160.0958955287933
289.4229381404842,15.466661629332494,1194.7747061252594
290.5390307578406,15.466661629332494,1230.0055298805237
291.56614798604215,15.466661629332494,1264.3674771785736
292.58778828293896,15.466661629332494,1299.50239777565
302.5100095936229,15.466661629332494,1335.5814261436462
