cost,SR,IR,rmse,max_value,operation_time
350,-6.073001660293883,13.194109646821317,14.411780097784739,115.28377894300873,7.479172229766846
450,-6.073001660293883,12.089462498338136,12.531872292827696,115.28377894300873,6.162171125411987
550,-6.073001660293883,12.466451727314649,12.687043290821562,115.28377894300873,6.768813371658325
650,-6.073001660293883,12.553971983178997,12.773684059461644,115.28377894300873,6.52685022354126
750,-6.073001660293883,12.573444658490729,12.790151799608457,115.28377894300873,5.615593671798706
850,-6.073001660293883,8.700973651806763,9.520146962781858,115.28377894300873,7.288563013076782
950,-6.073001660293883,7.356598659195242,8.501665429446199,115.28377894300873,7.180830240249634
1050,-6.073001660293883,7.651219430229332,8.71716740376417,115.28377894300873,7.685744285583496
1150,-6.073001660293883,10.09903079955204,9.94552143651833,115.28377894300873,4.657208442687988
1250,-6.073001660293883,10.415137855514757,10.070529429682363,115.28377894300873,4.736244201660156
