cost,SR,IR,rmse,max_value,operation_time
260,-28.70003181911767,-25.341528144816806,12.587137719901735,114.58255440212548,3.896986722946167
270,-28.70003181911767,-25.318767514007916,12.330509922585733,114.58255440212548,4.145137548446655
280,-28.70003181911767,-25.314973674632284,12.276977404144187,114.58255440212548,3.8321478366851807
290,-29.624172685671496,-25.3168249207839,12.303379274511551,115.50669526867931,4.025977611541748
300,-29.624172685671496,-25.324296520182244,12.31702773146598,115.50669526867931,3.783782958984375
310,-29.624172685671496,-25.327939723956334,12.401953520455933,115.50669526867931,3.8783328533172607
320,-30.557136087921833,-25.324318386753305,12.398345916713074,116.43965867092965,3.8812625408172607
330,-30.557136087921833,-25.32663051634603,12.427508151113232,116.43965867092965,3.878054618835449
340,-30.557136087921833,-25.255625506974567,11.882173820088594,116.43965867092965,4.004185676574707
350,-30.557136087921833,-25.17542203042042,11.315736567141755,116.43965867092965,3.8370680809020996
