cost,SR,data,y,operation_time,time
tensor(1.),1.8837556064128878,"[0.2411293908954, -0.7849842365831, 0.2668785210699]",0.3162443935871124,4.7206878662109375e-05,5.1021575927734375e-05
tensor(4.),1.6338095784187319,"[-0.3873949125409, 0.5572137143463, 0.5327035477385]",0.5661904215812683,3.910064697265625e-05,2.9802322387695312e-05
tensor(10.),1.134155583381653,"[0.9493397977203, -0.3294044602662, 0.8018118236214]",1.0658444166183472,3.814697265625e-05,2.7179718017578125e-05
tensor(11.),1.134155583381653,"[-0.6779952738434, 0.0703571457416, 0.0051106689498]",0.17949479818344116,3.814697265625e-05,2.9802322387695312e-05
tensor(12.),0.635049891471863,"[0.7443916834891, 0.7567376065999, 0.188362441957]",1.5649501085281372,3.62396240234375e-05,3.5762786865234375e-05
tensor(21.),0.635049891471863,"[-0.8750994168222, -0.5308949071914, 0.985197157599]",0.07182703912258148,3.600120544433594e-05,4.124641418457031e-05
tensor(26.),0.635049891471863,"[0.4381902907044, 0.3637531753629, 0.7232843525708]",0.8141352534294128,3.5762786865234375e-05,4.696846008300781e-05
tensor(28.),0.635049891471863,"[-0.1825529839844, -0.106687149033, 0.4575851680711]",0.1287337988615036,3.3855438232421875e-05,5.1975250244140625e-05
tensor(30.),0.635049891471863,"[0.8005146756768, 0.4629319999367, 0.3993627736345]",1.3102883100509644,3.504753112792969e-05,5.91278076171875e-05
tensor(34.),0.635049891471863,"[-0.5721502527595, -0.1907274071127, 0.6648220643401]",0.05142759159207344,3.790855407714844e-05,6.318092346191406e-05
tensor(42.),0.635049891471863,"[0.0090912934393, 0.9146398287266, 0.9342813016847]",1.1311899423599243,3.409385681152344e-05,6.794929504394531e-05
tensor(43.),0.635049891471863,"[-0.3623844031245, -0.6736584436148, 0.1372134573758]",0.025547651574015617,3.409385681152344e-05,7.295608520507812e-05
tensor(44.),0.635049891471863,"[0.3115894980729, -0.4992600958794, 0.0716247847304]",0.3303389847278595,3.5762786865234375e-05,8.225440979003906e-05
tensor(51.),0.635049891471863,"[-0.0676672272384, 0.2250780295581, 0.8685820456594]",0.35732489824295044,3.3855438232421875e-05,8.988380432128906e-05
tensor(55.),0.635049891471863,"[0.5057543162256, -0.8883191142231, 0.6065624235198]",0.5821666717529297,3.409385681152344e-05,9.393692016601562e-05
tensor(57.),0.635049891471863,"[-0.8747545834631, 0.6454137209803, 0.3409848306328]",0.7272067070007324,3.790855407714844e-05,0.00010013580322265625
tensor(59.),0.635049891471863,"[0.5892226919532, -0.1312338989228, 0.3735214127228]",0.6621972322463989,3.266334533691406e-05,0.0001049041748046875
tensor(62.),0.635049891471863,"[-0.7822530046105, 0.4054221939296, 0.5764540154487]",0.45072805881500244,3.719329833984375e-05,0.00010919570922851562
tensor(68.),0.635049891471863,"[0.3453677501529, -0.7392564211041, 0.8381150877103]",0.3869451582431793,3.504753112792969e-05,0.00011205673217773438
tensor(69.),0.635049891471863,"[-0.0272971782833, 0.9821603540331, 0.1035738717765]",1.2111237049102783,3.361701965332031e-05,0.00011706352233886719
tensor(70.),0.635049891471863,"[0.0859012342989, 0.1595115158707, 0.1717182742432]",0.3901178240776062,3.2901763916015625e-05,0.00012302398681640625
tensor(78.),0.635049891471863,"[-0.2946076653898, -0.4317099992186, 0.9061411879957]",0.02442476712167263,3.3855438232421875e-05,0.00013208389282226562
tensor(82.),0.553145480155945,"[0.8564581070095, 0.704877672717, 0.6362928235903]",1.6468545198440552,3.1948089599609375e-05,0.00013518333435058594
tensor(84.),0.553145480155945,"[-0.5227986183017, -0.9458603989333, 0.4332496374846]",0.10065563768148422,3.409385681152344e-05,0.000141143798828125
tensor(87.),0.553145480155945,"[0.4043490961194, 0.6247334051877, 0.4919679425657]",1.0424363613128662,3.409385681152344e-05,0.0001468658447265625
tensor(88.),0.19007415771484393,"[0.8548613834314, 0.9772280000421, 0.2202894476434]",2.0099258422851562,0.00010967254638671875,0.0001499652862548828
tensor(90.),0.17113609313964862,"[0.8866729468813, 0.9604334302831, 0.4504737391421]",2.0288639068603516,4.410743713378906e-05,0.0001590251922607422
tensor(91.),0.17113609313964862,"[0.8620536567983, 0.9358387640025, 0.1683517094392]",1.9594115018844604,3.719329833984375e-05,0.0001590251922607422
tensor(95.),0.17113609313964862,"[0.8543781646158, 0.89281473289, 0.6405562192716]",1.8881367444992065,3.600120544433594e-05,0.00016617774963378906
