cost,SR,IR,max_value,operation_time
56.0,0.4917834152904028,0.40726226503181806,13.306040490654421,1.0027427673339844
60.0,0.4917834152904028,-32.05622959147727,13.306040490654421,1.0019102096557617
62.0,0.4917834152904028,-29.670298169743006,13.306040490654421,1.1153590679168701
64.0,0.4917834152904028,-37.47122789549888,13.306040490654421,1.1757230758666992
70.0,0.4917834152904028,-63.5321829617824,13.306040490654421,1.1894662380218506
77.0,0.4917834152904028,-59.01339314791694,13.306040490654421,1.1737463474273682
79.0,0.4917834152904028,-24.21163153003085,13.306040490654421,1.1917426586151123
82.0,0.4917834152904028,-52.982460345558465,13.306040490654421,1.1871528625488281
86.0,0.4917834152904028,-43.41407927272877,13.306040490654421,1.187657356262207
93.0,0.4917834152904028,-37.59736807472446,13.306040490654421,1.1896154880523682
102.0,0.4917834152904028,-41.581471761988375,13.306040490654421,1.2639844417572021
103.0,0.4917834152904028,-31.982907750886262,13.306040490654421,1.206618070602417
108.0,0.4917834152904028,-39.580575199385514,13.306040490654421,1.2405178546905518
109.0,0.4917834152904028,-35.50200507127843,13.306040490654421,1.2370147705078125
110.0,0.4917834152904028,-31.31017636652779,13.306040490654421,1.241112232208252
112.0,0.4917834152904028,-48.02914548257782,13.306040490654421,1.2530477046966553
113.0,0.4917834152904028,-35.578162370436885,13.306040490654421,1.2504143714904785
115.0,0.4917834152904028,-34.525170995730754,13.306040490654421,1.245528221130371
116.0,0.4917834152904028,-24.13276696393722,13.306040490654421,1.2475848197937012
117.0,0.4917834152904028,-21.59328150585872,13.306040490654421,1.2568490505218506
118.0,0.4917834152904028,-22.681866432757182,13.306040490654421,1.256080150604248
119.0,0.4917834152904028,-14.460979909547458,13.306040490654421,1.2636184692382812
121.0,0.4917834152904028,-22.9736766413655,13.306040490654421,1.279811143875122
122.0,0.4917834152904028,-25.345845238057628,13.306040490654421,1.2731781005859375
127.0,0.4917834152904028,-41.026400695602334,13.306040490654421,1.2812800407409668
131.0,0.4917834152904028,-26.50595183611049,13.306040490654421,1.2714636325836182
133.0,0.4917834152904028,-33.57554381513354,13.306040490654421,1.282810926437378
135.0,0.4917834152904028,-29.56575460832982,13.306040490654421,1.268298625946045
142.0,0.4917834152904028,-23.40117103819218,13.306040490654421,1.2922110557556152
143.0,0.4917834152904028,-23.777364656433356,13.306040490654421,1.2945470809936523
144.0,0.4917834152904028,-17.199329709036512,13.306040490654421,1.2735366821289062
147.0,0.4917834152904028,-42.58365884351809,13.306040490654421,1.3051059246063232
149.0,0.4917834152904028,-37.77829809095257,13.306040490654421,1.311952829360962
154.0,0.4917834152904028,-29.873002279674488,13.306040490654421,1.3219335079193115
