wallclocktime,mse
11.126791715621948,0.07207123964902255
12.85640573501587,0.06690605835972764
15.067407131195068,0.06337788958208414
17.388606548309326,0.06337788958208414
20.037726879119873,0.06337788958208414
22.787936687469482,0.0609401235469948
25.179198265075684,0.0609401235469948
27.53589153289795,0.0609401235469948
29.856810808181763,0.0609401235469948
32.34549307823181,0.0609401235469948
34.852763175964355,0.0609401235469948
38.19411325454712,0.0609401235469948
41.54754686355591,0.0609401235469948
44.66167855262756,0.05940361705288948
47.90479516983032,0.05940361705288948
51.0547137260437,0.05940361705288948
54.55828619003296,0.05940361705288948
57.84329700469971,0.05940361705288948
61.24513125419617,0.05940361705288948
64.5797266960144,0.05940361705288948
68.17183208465576,0.05940361705288948
71.55475068092346,0.05940361705288948
75.87617945671082,0.05940361705288948
79.31046152114868,0.05940361705288948
83.0699782371521,0.05940361705288948
86.46671056747437,0.05940361705288948
89.95691061019897,0.05940361705288948
93.44231057167053,0.05940361705288948
97.70215320587158,0.05940361705288948
102.35215377807617,0.05940361705288948
105.84334802627563,0.05940361705288948
109.29729771614075,0.05940361705288948
112.82627296447754,0.05940361705288948
116.19983410835266,0.05940361705288948
120.00677299499512,0.05940361705288948
123.90681290626526,0.05940361705288948
128.10246348381042,0.05940361705288948
131.91330790519714,0.05940361705288948
135.42887425422668,0.05940361705288948
138.9443075656891,0.05940361705288948
142.51439380645752,0.05940361705288948
147.61524534225464,0.05940361705288948
151.4617578983307,0.059080945946761394
154.95419836044312,0.059080945946761394
158.05312156677246,0.059080945946761394
160.95535683631897,0.059080945946761394
164.07953357696533,0.059080945946761394
166.92310237884521,0.059080945946761394
169.83778190612793,0.059080945946761394
173.69397807121277,0.059080945946761394
177.520987033844,0.059080945946761394
180.47879123687744,0.059080945946761394
183.4212155342102,0.059080945946761394
186.31942105293274,0.059080945946761394
189.23849606513977,0.059080945946761394
192.46184873580933,0.059080945946761394
196.02137899398804,0.059080945946761394
200.20811223983765,0.059080945946761394
204.45199918746948,0.059080945946761394
208.66425943374634,0.059080945946761394
212.1826138496399,0.059080945946761394
215.32977104187012,0.059080945946761394
218.30617356300354,0.059080945946761394
221.82414317131042,0.059080945946761394
224.7109112739563,0.059080945946761394
228.74413657188416,0.059080945946761394
232.58410716056824,0.059080945946761394
236.4986071586609,0.059080945946761394
240.48993468284607,0.059080945946761394
244.95835399627686,0.059080945946761394
249.35213828086853,0.059080945946761394
254.357768535614,0.059080945946761394
258.57754158973694,0.059080945946761394
263.1722252368927,0.059080945946761394
266.87969040870667,0.059080945946761394
269.9883120059967,0.059080945946761394
272.9296576976776,0.059080945946761394
275.829715013504,0.059080945946761394
279.17466616630554,0.059080945946761394
282.93548035621643,0.059080945946761394
286.7556629180908,0.059080945946761394
291.5062358379364,0.059080945946761394
295.5677683353424,0.059080945946761394
299.62688541412354,0.059080945946761394
304.70936369895935,0.059080945946761394
307.9098286628723,0.059080945946761394
311.86061573028564,0.059080945946761394
315.4239270687103,0.059080945946761394
318.6458275318146,0.059080945946761394
322.85656356811523,0.059080945946761394
326.1467196941376,0.059080945946761394
