cost,SR,IR,rmse,max_value,operation_time
35.0,0.01692596138664316,0.13172893466104618,0.6824513283829717,0.01645525111607481,0.6834204196929932
40.0,0.01692596138664316,0.07100837740719901,0.6870409084547348,0.01645525111607481,0.6915934085845947
45.0,0.01692596138664316,0.03709278141799176,0.6910246555901596,0.01645525111607481,0.6828267574310303
46.0,0.01692596138664316,0.03390172398483628,0.6917961503485829,0.01645525111607481,0.6894230842590332
51.0,0.01692596138664316,0.033510168569267966,0.691892998690036,0.01645525111607481,0.6907360553741455
56.0,0.01692596138664316,0.03340270985818971,0.6919128559399689,0.01645525111607481,0.7030463218688965
61.0,0.01692596138664316,0.03338477938951038,0.6919157475267694,0.01645525111607481,0.7019553184509277
66.0,0.01692596138664316,0.03338193895082941,0.6919161900736576,0.01645525111607481,0.7041499614715576
71.0,0.01692596138664316,0.03338156697077054,0.6919162477253621,0.01645525111607481,0.712266206741333
76.0,0.01692596138664316,0.033381398143129744,0.6919162738740351,0.01645525111607481,0.6959571838378906
81.0,0.01692596138664316,0.0335025557322676,0.6918975440215154,0.01645525111607481,0.7367737293243408
82.0,0.01692596138664316,0.07024590311536005,0.6871806703810441,0.01645525111607481,0.7444813251495361
83.0,0.01692596138664316,0.03889527049412378,0.6910845685779633,0.01645525111607481,0.711735725402832
88.0,0.01692596138664316,0.03387797597102163,0.6918102411418663,0.01645525111607481,0.7299208641052246
89.0,0.01692596138664316,0.0334317452858718,0.6919040020539047,0.01645525111607481,0.8007524013519287
90.0,1.9241316924829832e-05,0.03338619604060347,0.6919148163553178,0.03336197118579314,0.7142980098724365
95.0,1.9241316924829832e-05,0.03338204549821353,0.6919161039269001,0.03336197118579314,0.7256603240966797
100.0,1.9241316924829832e-05,0.03338133694052385,0.6919162726580873,0.03336197118579314,0.7088441848754883
105.0,1.9241316924829832e-05,0.03343737332457826,0.6919032949360638,0.03336197118579314,0.721583366394043
106.0,1.9241316924829832e-05,0.06774749940512743,0.6891077305234073,0.03336197118579314,0.7182776927947998
111.0,1.9241316924829832e-05,0.08833493181000845,0.688917327247722,0.03336197118579314,0.7471179962158203
116.0,1.9241316924829832e-05,0.08492013960724448,0.6889564619282144,0.03336197118579314,0.8166873455047607
117.0,1.9241316924829832e-05,0.09237396741702084,0.686868742503662,0.03336197118579314,0.7385385036468506
118.0,1.9241316924829832e-05,0.08867803171800798,0.6866812069733718,0.03336197118579314,0.7508237361907959
119.0,1.9241316924829832e-05,0.06370416417523239,0.6892030738541638,0.03336197118579314,0.7266209125518799
120.0,1.9241316924829832e-05,0.06315579636667687,0.6922185558537516,0.03336197118579314,0.7269198894500732
121.0,1.9241316924829832e-05,0.056915610566564606,0.6964729219165346,0.03336197118579314,0.7356789112091064
126.0,1.9241316924829832e-05,0.05698612957222439,0.6978305933309649,0.03336197118579314,0.736670970916748
131.0,1.9241316924829832e-05,0.05399920823339291,0.6985500046439755,0.03336197118579314,0.7579364776611328
136.0,1.9241316924829832e-05,0.05297787833377485,0.7060628418852558,0.03336197118579314,0.7445969581604004
137.0,1.9241316924829832e-05,0.053074977307271815,0.7128948970638401,0.03336197118579314,0.7421329021453857
142.0,1.9241316924829832e-05,0.06404522181102848,0.7104765267096762,0.03336197118579314,0.7565264701843262
147.0,1.9241316924829832e-05,0.07101259596048048,0.7111191250803262,0.03336197118579314,0.7595102787017822
152.0,1.9241316924829832e-05,0.0741823172302652,0.7117953571128822,0.03336197118579314,0.7543089389801025
