cost,SR,operation_time,time
0.0,2.2,9.507864236831665,9.507864236831665
3.0,1.1457962512969972,0.0005552768707275391,0.0005927085876464844
4.0,1.1457962512969972,0.0005056858062744141,0.0003497600555419922
6.0,1.1457962512969972,0.0009143352508544922,0.0003578662872314453
13.0,1.1457962512969972,0.0006237030029296875,0.0005388259887695312
21.0,1.1457962512969972,0.0013840198516845703,0.0005891323089599609
23.0,1.1457962512969972,0.00048279762268066406,0.0005025863647460938
24.0,0.7591140985488893,0.0007197856903076172,0.0005488395690917969
28.0,0.7591140985488893,0.0005526542663574219,0.00070953369140625
33.0,0.7591140985488893,0.0003809928894042969,0.0010259151458740234
34.0,0.7591140985488893,0.00078582763671875,0.0010945796966552734
36.0,0.7591140985488893,0.0008938312530517578,0.001444101333618164
45.0,0.7591140985488893,0.0005180835723876953,0.00131988525390625
50.0,0.7591140985488893,0.0008211135864257812,0.0013439655303955078
52.0,0.7591140985488893,0.0003991127014160156,0.0012066364288330078
53.0,0.7591140985488893,0.0005741119384765625,0.0021033287048339844
56.0,0.7591140985488893,0.001093149185180664,0.0023527145385742188
59.0,0.7591140985488893,0.000514984130859375,0.0011439323425292969
60.0,0.7591140985488893,0.0005753040313720703,0.0011022090911865234
62.0,0.7591140985488893,0.0005843639373779297,0.0011317729949951172
68.0,0.7591140985488893,0.0006818771362304688,0.0011594295501708984
77.0,0.6864788055419924,0.0004031658172607422,0.0014467239379882812
79.0,0.6864788055419924,0.0010268688201904297,0.0014111995697021484
80.0,0.6864788055419924,0.0009679794311523438,0.0013921260833740234
84.0,0.6864788055419924,0.0005247592926025391,0.0014483928680419922
88.0,0.6864788055419924,0.0010192394256591797,0.001506805419921875
97.0,0.4750829458236696,0.0004215240478515625,0.0022585391998291016
106.0,0.4750829458236696,0.0005023479461669922,0.001720428466796875
115.0,0.4750829458236696,0.0005638599395751953,0.0014483928680419922
124.0,0.4750829458236696,0.0013794898986816406,0.0014600753784179688
133.0,0.4750829458236696,0.0008392333984375,0.0015919208526611328
142.0,0.4750829458236696,0.0006494522094726562,0.0015041828155517578
151.0,0.4750829458236696,0.0015759468078613281,0.0018639564514160156
160.0,0.4750829458236696,0.0006010532379150391,0.0019407272338867188
169.0,0.4750829458236696,0.00036406517028808594,0.0019292831420898438
178.0,0.4750829458236696,0.00040340423583984375,0.002332448959350586
186.0,0.4750829458236696,0.0003921985626220703,0.0020720958709716797
195.0,0.4750829458236696,0.0003879070281982422,0.0021190643310546875
196.0,0.4750829458236696,0.00039386749267578125,0.001983642578125
205.0,0.4750829458236696,0.0003662109375,0.0019845962524414062
214.0,0.4750829458236696,0.0005028247833251953,0.002766847610473633
223.0,0.4750829458236696,0.00038909912109375,0.002081632614135742
232.0,0.443346691131592,0.00038552284240722656,0.0021049976348876953
241.0,0.443346691131592,0.0007557868957519531,0.002841949462890625
245.0,0.443346691131592,0.0004017353057861328,0.0025827884674072266
254.0,0.4430723905563356,0.0008294582366943359,0.002486705780029297
263.0,0.4430723905563356,0.0005805492401123047,0.0031921863555908203
272.0,0.4430723905563356,0.0006775856018066406,0.0029816627502441406
281.0,0.4430723905563356,0.0007607936859130859,0.0034232139587402344
290.0,0.4430723905563356,0.0007321834564208984,0.003244161605834961
299.0,0.4430723905563356,0.0004241466522216797,0.004093647003173828
307.0,0.4430723905563356,0.0012962818145751953,0.004063129425048828
316.0,0.43492968082427996,0.0006020069122314453,0.002727508544921875
325.0,0.42188365459442156,0.0004253387451171875,0.003262042999267578
329.0,0.42188365459442156,0.0004584789276123047,0.0029473304748535156
338.0,0.42188365459442156,0.0006077289581298828,0.0035257339477539062
347.0,0.3928751468658449,0.0007061958312988281,0.004276752471923828
356.0,0.3928751468658449,0.0005743503570556641,0.003244161605834961
365.0,0.3226534843444826,0.0003757476806640625,0.003478527069091797
374.0,0.18920869827270526,0.0005192756652832031,0.003660440444946289
383.0,0.18920869827270526,0.0006642341613769531,0.0032491683959960938
392.0,0.18920869827270526,0.0004127025604248047,0.0032896995544433594
400.0,0.18920869827270526,0.0010161399841308594,0.003169536590576172
409.0,-0.02903537750244123,0.00042247772216796875,0.0038683414459228516
418.0,-0.02903537750244123,0.0005240440368652344,0.0031571388244628906
427.0,-0.02903537750244123,0.0005309581756591797,0.0029668807983398438
436.0,-0.02903537750244123,0.0005936622619628906,0.0030126571655273438
445.0,-0.02903537750244123,0.00035858154296875,0.003163576126098633
454.0,-0.02903537750244123,0.0003674030303955078,0.0036437511444091797
463.0,-0.02903537750244123,0.0003650188446044922,0.003584146499633789
472.0,-0.02903537750244123,0.0003669261932373047,0.0034761428833007812
481.0,-0.02903537750244123,0.0004961490631103516,0.0035085678100585938
490.0,-0.02903537750244123,0.0005354881286621094,0.003720998764038086
499.0,-0.02903537750244123,0.0003514289855957031,0.0034580230712890625
504.0,-0.037032175064086736,0.00043702125549316406,0.003568410873413086
508.0,-0.037032175064086736,0.0003731250762939453,0.005574226379394531
509.0,-0.03823308944702131,0.00041675567626953125,0.004934787750244141
515.0,-0.03823308944702131,0.00043702125549316406,0.004476070404052734
516.0,-0.03823308944702131,0.0005843639373779297,0.004416227340698242
517.0,-0.03823308944702131,0.0005373954772949219,0.0045816898345947266
526.0,-0.038496780395507635,0.0004470348358154297,0.004214286804199219
527.0,-0.038496780395507635,0.0005238056182861328,0.004411458969116211
536.0,-0.038496780395507635,0.0004298686981201172,0.004626274108886719
545.0,-0.038496780395507635,0.0005342960357666016,0.004458904266357422
554.0,-0.038496780395507635,0.0005235671997070312,0.00457453727722168
563.0,-0.038496780395507635,0.00046706199645996094,0.004853725433349609
572.0,-0.038496780395507635,0.0005178451538085938,0.003870248794555664
577.0,-0.038496780395507635,0.0005536079406738281,0.004364967346191406
586.0,-0.038496780395507635,0.00035262107849121094,0.00477147102355957
595.0,-0.038496780395507635,0.0003924369812011719,0.004713296890258789
597.0,-0.038496780395507635,0.00041675567626953125,0.004407644271850586
598.0,-0.038496780395507635,0.0005502700805664062,0.004788398742675781
606.0,-0.038496780395507635,0.0003955364227294922,0.005220890045166016
614.0,-0.038496780395507635,0.00040411949157714844,0.005848884582519531
622.0,-0.038496780395507635,0.0005154609680175781,0.005799770355224609
630.0,-0.038496780395507635,0.0008676052093505859,0.004760265350341797
638.0,-0.038496780395507635,0.0004050731658935547,0.0047762393951416016
