cost,SR,data,y,operation_time,time
tensor(104.),0.17113609313964862,"[0.8929074458342, 0.8998052327976, 0.2207945614338]",1.9508229494094849,6.29425048828125e-05,0.00016999244689941406
tensor(109.),0.17113609313964862,"[0.8891131383519, 0.8987840429926, 0.7489593559825]",1.944116234779358,4.601478576660156e-05,0.00017499923706054688
tensor(114.),0.1515559673309328,"[0.872377820595, 0.9871002563536, 0.7065629396579]",2.0484440326690674,0.00011205673217773438,0.00018024444580078125
tensor(119.),0.1494500160217287,"[0.8767295682719, 0.9844919380724, 0.7011945655489]",2.0505499839782715,4.291534423828125e-05,0.00018405914306640625
tensor(124.),0.14671273231506365,"[0.87684046299, 0.9862317260919, 0.7039752094647]",2.0532872676849365,3.6716461181640625e-05,0.0001919269561767578
tensor(129.),0.14671273231506365,"[0.8744769612738, 0.9780271352677, 0.701996519294]",2.0378754138946533,3.62396240234375e-05,0.00019621849060058594
tensor(134.),0.14671273231506365,"[0.8731706150749, 0.9685079351322, 0.7018942704691]",2.0220565795898438,3.409385681152344e-05,0.00019931793212890625
tensor(139.),0.14671273231506365,"[0.8754494157135, 0.9626287210697, 0.702172068768]",2.0165717601776123,3.361701965332031e-05,0.00022101402282714844
tensor(147.),0.14671273231506365,"[0.9046606142556, 0.4249185490414, 0.9279547752296]",1.4152730703353882,5.1975250244140625e-05,0.0002167224884033203
tensor(148.),0.14671273231506365,"[-0.8428877566008, 0.5183846818133, 0.1729490327997]",0.578339695930481,4.00543212890625e-05,0.00021886825561523438
tensor(149.),0.14671273231506365,"[0.787775123769, -0.8343430186758, 0.288938513957]",0.8860749006271362,0.00010013580322265625,0.00021910667419433594
tensor(150.),0.14162964820861834,"[0.8788793406317, 0.9877610139831, 0.1559620603278]",2.058370351791382,0.00015497207641601562,0.00022292137145996094
tensor(151.),0.14162964820861834,"[0.8769226402705, 0.9870790623334, 0.0999354366949]",2.0546600818634033,8.320808410644531e-05,0.00022983551025390625
tensor(152.),0.1368920326232912,"[0.8778624324415, 0.9918819102125, 0.1458029716345]",2.063107967376709,4.1961669921875e-05,0.0002338886260986328
tensor(153.),0.1368920326232912,"[0.87684046299, 0.9862317260919, 0.1397350784115]",2.0532872676849365,3.790855407714844e-05,0.00024008750915527344
tensor(154.),0.1368920326232912,"[0.8768110979806, 0.9887536563701, 0.1007922749006]",2.0569980144500732,4.57763671875e-05,0.0002460479736328125
tensor(156.),0.12794704437255877,"[0.8780668743692, 0.9976773449776, 0.3790820225159]",2.0720529556274414,4.1961669921875e-05,0.0002510547637939453
tensor(158.),0.12794704437255877,"[0.8768477299788, 0.9918023075583, 0.4620633852322]",2.061591863632202,6.580352783203125e-05,0.00025391578674316406
tensor(160.),0.12794704437255877,"[0.6004105246627, -0.2111553408026, 0.317425261944]",0.6481671929359436,0.00018405914306640625,0.0002579689025878906
tensor(165.),0.12794704437255877,"[0.871868006215, 0.9862317260919, 0.7385522937808]",2.0464534759521484,0.00013208389282226562,0.0002758502960205078
tensor(174.),0.12794704437255877,"[-0.7233766048246, -0.5731247990677, 0.9619020815987]",0.028622180223464966,4.6253204345703125e-05,0.00027298927307128906
tensor(179.),0.12794704437255877,"[0.871885369101, 0.9852009677877, 0.7240560994079]",2.044945478439331,4.887580871582031e-05,0.00027489662170410156
tensor(184.),0.12794704437255877,"[0.8723319772033, 0.9993391351519, 0.7565258405583]",2.0666563510894775,3.719329833984375e-05,0.0002779960632324219
tensor(189.),0.12794704437255877,"[0.8722773168875, 0.9985817252452, 0.7103231511511]",2.065445899963379,3.5762786865234375e-05,0.0002827644348144531
tensor(195.),0.12794704437255877,"[0.872377820595, 0.9883288318177, 0.8043223889442]",2.05027174949646,3.409385681152344e-05,0.00028705596923828125
tensor(200.),0.12794704437255877,"[0.8703438493082, 0.9860368194929, 0.7031429639573]",2.0440738201141357,3.314018249511719e-05,0.00029397010803222656
