cost,SR,data,y,operation_time,time
tensor(1.),12.64031982421875,"[0.6205646954477, 0.1075078817084, 0.2668785210699]",42.35968017578125,5.698204040527344e-05,4.982948303222656e-05
tensor(4.),12.64031982421875,"[0.3063025437295, 0.7786068571731, 0.5327035477385]",41.67987060546875,4.291534423828125e-05,2.6941299438476562e-05
tensor(10.),12.64031982421875,"[0.9746698988602, 0.3352977698669, 0.8018118236214]",33.336326599121094,4.124641418457031e-05,2.5033950805664062e-05
tensor(11.),8.357887268066406,"[0.1610023630783, 0.5351785728708, 0.0051106689498]",46.642112731933594,4.100799560546875e-05,2.8848648071289062e-05
tensor(12.),8.357887268066406,"[0.8721958417445, 0.8783688033, 0.188362441957]",30.857969284057617,4.1961669921875e-05,3.719329833984375e-05
tensor(21.),3.3067169189453125,"[0.0624502915889, 0.2345525464043, 0.985197157599]",51.69328308105469,4.410743713378906e-05,4.38690185546875e-05
tensor(26.),3.3067169189453125,"[0.7190951453522, 0.6818765876815, 0.7232843525708]",35.2060546875,4.220008850097656e-05,4.673004150390625e-05
tensor(28.),3.3067169189453125,"[0.4087235080078, 0.4466564254835, 0.4575851680711]",43.06109619140625,4.7206878662109375e-05,5.1975250244140625e-05
tensor(30.),3.3067169189453125,"[0.9002573378384, 0.7314659999683, 0.3993627736345]",31.493816375732422,4.291534423828125e-05,5.888938903808594e-05
tensor(34.),3.3067169189453125,"[0.2139248736203, 0.4046362964436, 0.6648220643401]",47.05929183959961,4.00543212890625e-05,6.508827209472656e-05
tensor(42.),3.3067169189453125,"[0.5045456467196, 0.9573199143633, 0.9342813016847]",36.660377502441406,4.506111145019531e-05,6.914138793945312e-05
tensor(43.),3.3067169189453125,"[0.3188077984378, 0.1631707781926, 0.1372134573758]",47.661216735839844,4.696846008300781e-05,7.796287536621094e-05
tensor(44.),3.3067169189453125,"[0.6557947490364, 0.2503699520603, 0.0716247847304]",40.281768798828125,3.981590270996094e-05,8.082389831542969e-05
tensor(51.),3.3067169189453125,"[0.4661663863808, 0.612539014779, 0.8685820456594]",40.42015075683594,4.00543212890625e-05,8.988380432128906e-05
tensor(55.),3.3067169189453125,"[0.7528771581128, 0.0558404428884, 0.6065624235198]",40.231040954589844,3.981590270996094e-05,9.298324584960938e-05
tensor(57.),3.3067169189453125,"[0.0626227082685, 0.8227068604901, 0.3409848306328]",45.370723724365234,3.910064697265625e-05,9.775161743164062e-05
tensor(59.),3.3067169189453125,"[0.7946113459766, 0.4343830505386, 0.3735214127228]",35.933372497558594,4.00543212890625e-05,0.00010275840759277344
tensor(62.),3.3067169189453125,"[0.1088734976947, 0.7027110969648, 0.5764540154487]",45.816444396972656,4.267692565917969e-05,0.00010895729064941406
tensor(68.),3.3067169189453125,"[0.6726838750765, 0.130371789448, 0.8381150877103]",41.105377197265625,6.127357482910156e-05,0.00011587142944335938
tensor(69.),3.3067169189453125,"[0.4863514108583, 0.9910801770166, 0.1035738717765]",36.68254089355469,6.198883056640625e-05,0.000125885009765625
