cost,SR,data,y,operation_time,time
tensor(1.),12.64031982421875,"[0.6205646954477, 0.1075078817084, 0.2668785210699]",42.35968017578125,8.511543273925781e-05,3.695487976074219e-05
tensor(4.),12.64031982421875,"[0.3063025437295, 0.7786068571731, 0.5327035477385]",41.67987060546875,5.3882598876953125e-05,2.5033950805664062e-05
tensor(10.),12.64031982421875,"[0.9746698988602, 0.3352977698669, 0.8018118236214]",33.336326599121094,4.8160552978515625e-05,2.5987625122070312e-05
tensor(11.),8.357887268066406,"[0.1610023630783, 0.5351785728708, 0.0051106689498]",46.642112731933594,4.6253204345703125e-05,3.0040740966796875e-05
tensor(12.),8.357887268066406,"[0.8721958417445, 0.8783688033, 0.188362441957]",30.857969284057617,4.601478576660156e-05,3.600120544433594e-05
tensor(21.),3.3067169189453125,"[0.0624502915889, 0.2345525464043, 0.985197157599]",51.69328308105469,4.410743713378906e-05,4.100799560546875e-05
tensor(26.),3.3067169189453125,"[0.7190951453522, 0.6818765876815, 0.7232843525708]",35.2060546875,4.7206878662109375e-05,4.601478576660156e-05
tensor(28.),3.3067169189453125,"[0.4087235080078, 0.4466564254835, 0.4575851680711]",43.06109619140625,4.315376281738281e-05,5.125999450683594e-05
tensor(30.),3.3067169189453125,"[0.9002573378384, 0.7314659999683, 0.3993627736345]",31.493816375732422,4.410743713378906e-05,5.602836608886719e-05
tensor(34.),3.3067169189453125,"[0.2139248736203, 0.4046362964436, 0.6648220643401]",47.05929183959961,5.0067901611328125e-05,6.29425048828125e-05
tensor(42.),3.3067169189453125,"[0.5045456467196, 0.9573199143633, 0.9342813016847]",36.660377502441406,4.1961669921875e-05,6.914138793945312e-05
tensor(43.),3.3067169189453125,"[0.3188077984378, 0.1631707781926, 0.1372134573758]",47.661216735839844,4.315376281738281e-05,7.390975952148438e-05
tensor(44.),3.3067169189453125,"[0.6557947490364, 0.2503699520603, 0.0716247847304]",40.281768798828125,4.1961669921875e-05,8.106231689453125e-05
tensor(51.),3.3067169189453125,"[0.4661663863808, 0.612539014779, 0.8685820456594]",40.42015075683594,4.1961669921875e-05,8.511543273925781e-05
tensor(55.),3.3067169189453125,"[0.7528771581128, 0.0558404428884, 0.6065624235198]",40.231040954589844,4.792213439941406e-05,9.799003601074219e-05
tensor(57.),3.3067169189453125,"[0.0626227082685, 0.8227068604901, 0.3409848306328]",45.370723724365234,4.1961669921875e-05,9.799003601074219e-05
tensor(59.),3.3067169189453125,"[0.7946113459766, 0.4343830505386, 0.3735214127228]",35.933372497558594,4.1961669921875e-05,0.00010204315185546875
tensor(62.),3.3067169189453125,"[0.1088734976947, 0.7027110969648, 0.5764540154487]",45.816444396972656,4.315376281738281e-05,0.0001049041748046875
