cost,SR,IR,rmse,max_value,operation_time
51,1.7667116231812017,18.654371496923925,20.804650587409604,46.428639023791455,1.3996388912200928
52,1.7667116231812017,13.356297543353477,10.728571937187983,46.428639023791455,1.392486572265625
53,1.7667116231812017,12.498548230494066,10.084297905912214,46.428639023791455,0.9276080131530762
63,1.7667116231812017,11.624776058570816,10.500653116184045,46.428639023791455,1.3960423469543457
73,1.7667116231812017,11.613657334541223,10.501057963861463,46.428639023791455,1.3918547630310059
83,1.7667116231812017,11.237429529878938,10.652096884283983,46.428639023791455,1.3959729671478271
84,1.7667116231812017,11.160478380794764,12.636964303844572,46.428639023791455,1.4027009010314941
94,1.7667116231812017,11.334538023479297,12.567399249602024,46.428639023791455,1.3959665298461914
104,1.7667116231812017,11.791087002620365,12.077932501811596,46.428639023791455,1.397063970565796
114,1.7667116231812017,33.3584168543362,9.763742083021691,46.428639023791455,1.3927240371704102
124,1.7667116231812017,34.648746618345754,9.317896000792574,46.428639023791455,1.4037108421325684
134,1.7667116231812017,34.79264935660525,8.932817556846201,46.428639023791455,1.4036448001861572
144,1.7667116231812017,35.06687541774119,9.017438349052176,46.428639023791455,1.4043078422546387
154,1.7667116231812017,35.35442362946688,9.060938332661614,46.428639023791455,1.404339075088501
