cost,SR,IR,rmse,max_value,operation_time
51,35.29050871041797,41.19852057678089,15.397638793155076,13.159068621125,1.121767520904541
61,35.29050871041797,32.29808941485912,16.83615656943974,13.159068621125,1.13899564743042
71,35.29050871041797,30.46592584135617,14.663463167833036,13.159068621125,1.1351206302642822
81,35.29050871041797,30.466164242861872,14.661979179382827,13.159068621125,1.1249613761901855
91,35.29050871041797,30.468807512731622,14.661118965286821,13.159068621125,1.122114658355713
92,35.29050871041797,30.451405173533416,14.654986832491714,13.159068621125,1.1208291053771973
93,35.29050871041797,30.581098185959668,14.775207805202255,13.159068621125,1.1442770957946777
103,35.29050871041797,30.64965279008834,14.836548353449295,13.159068621125,1.107194423675537
113,35.29050871041797,30.653281208778957,14.835501542014876,13.159068621125,1.1387898921966553
114,35.29050871041797,25.985698240317493,12.028962085411822,13.159068621125,0.7366394996643066
124,35.29050871041797,32.171641797973095,13.333757642496167,13.159068621125,1.1393451690673828
134,35.29050871041797,32.787074934000024,13.154313983468958,13.159068621125,1.1505062580108643
144,35.29050871041797,32.3931184394294,13.325306357690675,13.159068621125,1.1220381259918213
154,35.29050871041797,31.894735888293702,13.461625316547261,13.159068621125,1.1724483966827393
