cost,SR,operation_time,time
0.0,244.0,7.865278005599976,7.865278005599976
1.0,103.57196044921875,0.0007503032684326172,0.0012471675872802734
10.0,103.57196044921875,0.001626729965209961,0.0010504722595214844
14.0,103.57196044921875,0.0007562637329101562,0.0013513565063476562
15.0,103.57196044921875,0.0005488395690917969,0.002410411834716797
18.0,103.57196044921875,0.0005648136138916016,0.007788419723510742
21.0,103.57196044921875,0.004773139953613281,0.002639293670654297
27.0,103.57196044921875,0.0006439685821533203,0.0018858909606933594
28.0,103.57196044921875,0.0005834102630615234,0.0032913684844970703
29.0,103.57196044921875,0.0008599758148193359,0.005979299545288086
36.0,103.57196044921875,0.0005886554718017578,0.003610372543334961
39.0,95.23081970214844,0.0005764961242675781,0.001108407974243164
41.0,95.23081970214844,0.0006666183471679688,0.001104593276977539
46.0,85.51123046875,0.0005342960357666016,0.004025459289550781
52.0,85.51123046875,0.0017528533935546875,0.0034046173095703125
57.0,85.51123046875,0.0009014606475830078,0.00676274299621582
64.0,71.17706298828125,0.0007956027984619141,0.0013439655303955078
65.0,71.17706298828125,0.002063751220703125,0.0014312267303466797
68.0,66.13984680175781,0.0027527809143066406,0.0013556480407714844
73.0,23.17987060546875,0.0007967948913574219,0.0014514923095703125
81.0,23.17987060546875,0.0017957687377929688,0.0016455650329589844
85.0,6.0119476318359375,0.0005133152008056641,0.004211902618408203
86.0,6.0119476318359375,0.0007092952728271484,0.0019540786743164062
91.0,6.0119476318359375,0.0006246566772460938,0.001560211181640625
96.0,6.0119476318359375,0.0005548000335693359,0.0016813278198242188
101.0,6.0119476318359375,0.0005960464477539062,0.002416372299194336
108.0,6.0119476318359375,0.0008082389831542969,0.0017979145050048828
112.0,6.0119476318359375,0.0006103515625,0.0018813610076904297
114.0,6.0119476318359375,0.00081634521484375,0.001870870590209961
116.0,6.0119476318359375,0.0005753040313720703,0.004252910614013672
121.0,-5.92327880859375,0.0012989044189453125,0.0031032562255859375
125.0,-5.92327880859375,0.00554966926574707,0.002024412155151367
132.0,-5.92327880859375,0.0008211135864257812,0.0021843910217285156
137.0,-5.92327880859375,0.001024007797241211,0.002168893814086914
143.0,-5.92327880859375,0.0006780624389648438,0.0021369457244873047
144.0,-5.92327880859375,0.0006761550903320312,0.003965616226196289
145.0,-5.92327880859375,0.0013015270233154297,0.002349376678466797
153.0,-5.92327880859375,0.0005252361297607422,0.0022361278533935547
162.0,-5.92327880859375,0.0005235671997070312,0.0022912025451660156
170.0,-5.92327880859375,0.0005462169647216797,0.0023238658905029297
171.0,-5.92327880859375,0.0007159709930419922,0.0024137496948242188
178.0,-5.92327880859375,0.0005400180816650391,0.004240751266479492
187.0,-5.92327880859375,0.0011811256408691406,0.004095792770385742
191.0,-5.92327880859375,0.0007953643798828125,0.0039670467376708984
196.0,-5.92327880859375,0.0005855560302734375,0.002618551254272461
203.0,-5.92327880859375,0.0022821426391601562,0.002639293670654297
211.0,-5.92327880859375,0.0015835762023925781,0.0066471099853515625
218.0,-5.92327880859375,0.0017209053039550781,0.003067493438720703
225.0,-5.92327880859375,0.004467964172363281,0.003261089324951172
234.0,-5.92327880859375,0.0014510154724121094,0.007195234298706055
236.0,-5.92327880859375,0.0007123947143554688,0.0035979747772216797
