cost,SR,IR,rmse,max_value,operation_time
60,40.281467177366636,45.05129627456368,11.486472123839507,8.190376542115786,0.5475656986236572
70,-1.791130546692088,29.16179833602934,17.15178323218473,50.26297426617451,0.5527338981628418
71,-1.791130546692088,4.218323097291659,3.9063562279121324,50.26297426617451,0.5493264198303223
72,-1.791130546692088,31.63587314213706,41.345043277638396,50.26297426617451,0.5552756786346436
73,-1.791130546692088,14.609290814604158,33.1349231025005,50.26297426617451,0.5480194091796875
74,-1.791130546692088,-10.340934377776549,29.679637259985753,50.26297426617451,0.5569911003112793
75,-1.791130546692088,1.4753561252039802,12.79385744781928,50.26297426617451,0.5492863655090332
85,-1.791130546692088,28.110216028432124,11.675677343913684,50.26297426617451,0.5512552261352539
86,-1.791130546692088,-16.092051451267466,23.509281468955297,50.26297426617451,0.5608499050140381
96,-1.791130546692088,-16.276086401738652,23.39030486587153,50.26297426617451,0.5598609447479248
106,-1.791130546692088,-20.755347367793746,22.79013537828811,50.26297426617451,0.550152063369751
107,-1.791130546692088,-26.040212845225227,18.314510990931947,50.26297426617451,0.5459535121917725
117,-1.791130546692088,-25.97521827483888,18.40165898539966,50.26297426617451,0.5606205463409424
127,-1.791130546692088,-23.76694918390608,17.524138595497153,50.26297426617451,0.5508828163146973
137,-1.791130546692088,-19.042123713960407,16.105319181682187,50.26297426617451,0.558908224105835
147,-1.791130546692088,-24.743979451691033,17.695043969800164,50.26297426617451,0.5522398948669434
148,-1.791130546692088,-16.952393429057196,8.28701406267439,50.26297426617451,0.5572490692138672
149,-1.791130546692088,-12.863321959088303,7.389626047917865,50.26297426617451,0.5561509132385254
150,-1.791130546692088,-21.145452737850462,9.054629159541438,50.26297426617451,0.558701753616333
