cost,SR,IR,rmse,max_value,operation_time
60,0.0466496803811325,-0.5929786794868996,0.612131713052878,-0.0132518270066513,0.42867541313171387
70,0.0466496803811325,-0.9776823574815736,0.6015190755377774,-0.0132518270066513,0.4331786632537842
80,0.0466496803811325,-0.7953324507942938,0.534341761437272,-0.0132518270066513,0.43917107582092285
90,0.0466496803811325,-0.7894340527445918,0.5327336592280518,-0.0132518270066513,0.4422588348388672
100,-0.016178561084509914,-1.176235662450847,0.6113692582248248,0.049576414458991115,0.43470191955566406
110,-0.016178561084509914,-1.2059436028080615,0.6240593160814161,0.049576414458991115,0.43645262718200684
120,-0.016178561084509914,-1.112899540505597,0.6018170190623131,0.049576414458991115,0.4371623992919922
130,-0.016178561084509914,-0.5458318607770916,0.4783998718153695,0.049576414458991115,0.43509411811828613
140,-0.016178561084509914,-0.2886118691230286,0.4461111063303705,0.049576414458991115,0.436143159866333
150,-0.016178561084509914,-0.055503501613242884,0.446375802117363,0.049576414458991115,0.43567800521850586
