cost,incumbents,operation_time
51,-41.638267517089844,8.606910705566406e-05
61,-33.17716979980469,9.512901306152344e-05
62,-33.17716979980469,7.009506225585938e-05
63,-33.17716979980469,6.699562072753906e-05
73,-33.17716979980469,0.00011801719665527344
83,-33.17716979980469,7.104873657226562e-05
84,-33.17716979980469,7.104873657226562e-05
85,-33.17716979980469,0.00010395050048828125
95,-33.17716979980469,6.389617919921875e-05
96,-33.17716979980469,0.00017595291137695312
97,-33.17716979980469,7.915496826171875e-05
98,-33.17716979980469,6.699562072753906e-05
99,-33.17716979980469,7.224082946777344e-05
100,-33.17716979980469,6.29425048828125e-05
101,-33.17716979980469,7.200241088867188e-05
102,-33.17716979980469,6.318092346191406e-05
103,-33.17716979980469,7.605552673339844e-05
104,-33.17716979980469,0.0001571178436279297
105,-33.17716979980469,0.00014495849609375
106,-33.17716979980469,7.772445678710938e-05
107,-33.17716979980469,9.012222290039062e-05
108,-33.17716979980469,6.604194641113281e-05
109,-33.17716979980469,8.893013000488281e-05
119,-33.17716979980469,8.20159912109375e-05
129,-33.17716979980469,9.274482727050781e-05
130,-33.17716979980469,0.00011706352233886719
131,-33.17716979980469,0.00017714500427246094
132,-33.17716979980469,7.605552673339844e-05
133,-33.17716979980469,6.508827209472656e-05
134,-33.17716979980469,6.29425048828125e-05
135,-33.17716979980469,6.103515625e-05
136,-33.17716979980469,5.888938903808594e-05
137,-33.17716979980469,5.91278076171875e-05
147,-33.17716979980469,0.00011801719665527344
148,-33.17716979980469,0.0001437664031982422
149,-33.17716979980469,7.677078247070312e-05
159,-28.356101989746094,8.296966552734375e-05
169,-28.356101989746094,6.985664367675781e-05
179,-28.356101989746094,9.799003601074219e-05
