cost,SR,IR,max_value,operation_time
31.0,1.7325666522743663,-5.285325074690942,12.065257253670458,0.49042296409606934
33.0,1.7325666522743663,1.9458070096594646,12.065257253670458,0.4869422912597656
36.0,1.7325666522743663,0.5094861913402617,12.065257253670458,0.5049169063568115
39.0,1.7325666522743663,-11.310005716030872,12.065257253670458,0.5145366191864014
41.0,1.7325666522743663,-4.965535638168458,12.065257253670458,0.5118298530578613
42.0,1.7325666522743663,-4.869251127253264,12.065257253670458,0.5113334655761719
46.0,1.7325666522743663,-5.361825000373525,12.065257253670458,0.5106227397918701
50.0,1.7325666522743663,-5.126790246437068,12.065257253670458,0.5157730579376221
53.0,1.7325666522743663,-5.17660485949683,12.065257253670458,0.5141220092773438
55.0,1.7325666522743663,-4.039567738943877,12.065257253670458,0.5134634971618652
57.0,1.7325666522743663,-4.3649361834076466,12.065257253670458,0.5139873027801514
61.0,1.7325666522743663,-4.660459819928086,12.065257253670458,0.5297176837921143
62.0,1.7325666522743663,-5.178036130670307,12.065257253670458,0.5184760093688965
64.0,1.7325666522743663,-5.4123478844476764,12.065257253670458,0.5263683795928955
66.0,1.7325666522743663,-5.595288640997605,12.065257253670458,0.5221297740936279
70.0,1.7325666522743663,-5.846531083826751,12.065257253670458,0.5195791721343994
74.0,1.7325666522743663,-7.023789350453889,12.065257253670458,0.5176143646240234
76.0,1.7325666522743663,-7.181386902484956,12.065257253670458,0.5244905948638916
77.0,1.7325666522743663,-6.273079718165711,12.065257253670458,0.5333235263824463
81.0,1.7325666522743663,-9.983489530999023,12.065257253670458,0.5258009433746338
82.0,1.7325666522743663,-10.952663505120348,12.065257253670458,0.5363805294036865
86.0,0.12555363006100784,-37.53197227853175,13.672270275883816,0.5325820446014404
87.0,0.12555363006100784,-42.92337360268352,13.672270275883816,0.5293710231781006
90.0,0.12555363006100784,-40.567385031891384,13.672270275883816,0.5348644256591797
91.0,0.12555363006100784,-41.52413960466364,13.672270275883816,0.5413644313812256
92.0,0.12555363006100784,-39.78017210953556,13.672270275883816,0.5431184768676758
93.0,0.12555363006100784,-40.714580730945464,13.672270275883816,0.5479795932769775
95.0,0.12555363006100784,-40.02054960761422,13.672270275883816,0.5426774024963379
99.0,0.12555363006100784,-38.597049592369515,13.672270275883816,0.5465760231018066
101.0,0.12555363006100784,-40.06429185880706,13.672270275883816,0.5464119911193848
105.0,0.12555363006100784,-39.08306004998645,13.672270275883816,0.5444376468658447
107.0,0.12555363006100784,-39.76458105018594,13.672270275883816,0.5596985816955566
108.0,0.12555363006100784,-39.04190554489421,13.672270275883816,0.5582180023193359
110.0,0.12555363006100784,-39.42464032263164,13.672270275883816,0.5698225498199463
111.0,0.12555363006100784,-39.160467599321926,13.672270275883816,0.5949416160583496
115.0,0.12555363006100784,-34.05567532293829,13.672270275883816,0.5664103031158447
118.0,0.12555363006100784,-32.23272873026043,13.672270275883816,0.5685863494873047
121.0,0.12555363006100784,-26.406966888954905,13.672270275883816,0.5775799751281738
123.0,0.12555363006100784,-32.20756602938847,13.672270275883816,0.5667712688446045
125.0,0.12555363006100784,-26.67230147113799,13.672270275883816,0.5762279033660889
127.0,0.12555363006100784,-32.245448970003494,13.672270275883816,0.5903127193450928
129.0,0.12555363006100784,-27.614842531920615,13.672270275883816,0.5823547840118408
132.0,0.12555363006100784,-32.41009123758904,13.672270275883816,0.5914890766143799
134.0,0.12555363006100784,-26.885188673883924,13.672270275883816,0.5911850929260254
137.0,0.12555363006100784,-32.34366710535814,13.672270275883816,0.5923264026641846
138.0,0.12555363006100784,-27.320106587883856,13.672270275883816,0.5875091552734375
141.0,0.12555363006100784,-32.30332587307364,13.672270275883816,0.5904140472412109
142.0,0.12555363006100784,-27.20827696666992,13.672270275883816,0.6061749458312988
145.0,0.12555363006100784,-32.738423942494755,13.672270275883816,0.5932347774505615
149.0,0.12555363006100784,-35.989827413534584,13.672270275883816,0.5982122421264648
151.0,0.12555363006100784,-40.42011727737225,13.672270275883816,0.6103205680847168
