cost,SR,IR,rmse,max_value,operation_time
60,0.0012097088958079316,-0.3024604716294543,0.6098068873141869,0.03203385785567217,0.7512784004211426
70,0.0012097088958079316,-0.10169090671419456,0.5181702404069775,0.03203385785567217,0.7649509906768799
80,0.0012097088958079316,-0.06685599775435587,0.49960560568474927,0.03203385785567217,0.7503528594970703
90,0.0012097088958079316,-0.06138354740301316,0.49718761920615023,0.03203385785567217,0.7399945259094238
100,0.0012097088958079316,-0.05830725857368452,0.495657394932215,0.03203385785567217,0.7485594749450684
110,0.0012097088958079316,-0.06636616562811036,0.5003309567166035,0.03203385785567217,0.7722954750061035
120,0.0012097088958079316,-0.0671231554490526,0.5003406873950884,0.03203385785567217,0.7617261409759521
130,0.0012097088958079316,-0.06699823221487154,0.49925850516659187,0.03203385785567217,0.7640979290008545
140,0.0012097088958079316,-0.06785579154680378,0.4978774091891967,0.03203385785567217,0.7660090923309326
150,0.0012097088958079316,-0.06834935812086848,0.49657981192449935,0.03203385785567217,0.7543678283691406
