cost,SR,IR,rmse,max_value,operation_time
60,0.040990296200873716,0.08229772179092615,0.442475258606186,-0.0076090836981557415,0.4319126605987549
70,0.040990296200873716,0.04049202741734477,0.4373617414859875,-0.0076090836981557415,0.4313836097717285
80,0.040990296200873716,0.03383614111204644,0.4739436748955445,-0.0076090836981557415,0.431166410446167
90,-0.009558504213594776,-0.3769381102875867,0.49238240394922245,0.04293971671631275,0.4347360134124756
100,-0.009558504213594776,-0.766964202779898,0.6086324288781918,0.04293971671631275,0.4308173656463623
110,-0.009558504213594776,-0.7179500940168848,0.5722533519467746,0.04293971671631275,0.4334754943847656
120,-0.009558504213594776,-0.7022865588187579,0.5818305345264715,0.04293971671631275,0.4309074878692627
130,-0.009558504213594776,-0.7175338076504567,0.5943326205928495,0.04293971671631275,0.4312326908111572
140,-0.009558504213594776,-0.7436854719122513,0.6142340467748315,0.04293971671631275,0.43451452255249023
150,-0.009558504213594776,-0.735980329096382,0.6028584711234376,0.04293971671631275,0.4356217384338379
