cost,SR,IR,rmse,max_value,operation_time
51,0.0012097088958079316,-0.19274232366862937,0.5374859558119884,0.03203385785567217,0.3371849060058594
52,0.0012097088958079316,-0.0017942042951446108,0.45603472142843077,0.03203385785567217,0.34142231941223145
53,0.0012097088958079316,0.056154416602385446,0.42938807371358145,0.03203385785567217,0.35486268997192383
54,0.0012097088958079316,-0.5148298193309848,0.5514132133526306,0.03203385785567217,0.3343040943145752
64,0.0012097088958079316,-0.8323254133960367,0.6512801025487069,0.03203385785567217,0.33931946754455566
74,0.0012097088958079316,-0.817267049076876,0.6464770176523357,0.03203385785567217,0.3471052646636963
84,0.0012097088958079316,-0.8130718620684668,0.6445180329865073,0.03203385785567217,0.3562960624694824
94,0.0012097088958079316,-0.8171353182772957,0.6463393246457882,0.03203385785567217,0.34023523330688477
104,0.0012097088958079316,-0.8178915163023067,0.6466803991477132,0.03203385785567217,0.34343886375427246
114,0.0012097088958079316,-0.832244898525854,0.6426169641022604,0.03203385785567217,0.3521559238433838
124,0.0012097088958079316,-0.8178331559384463,0.6416263821983148,0.03203385785567217,0.35476160049438477
134,0.0012097088958079316,-0.8179058350276056,0.6505088081826839,0.03203385785567217,0.3447437286376953
135,0.0012097088958079316,-0.8179058453091762,0.6583029120458445,0.03203385785567217,0.3438730239868164
145,0.0012097088958079316,-0.8125894512299251,0.6509610444240193,0.03203385785567217,0.35338473320007324
155,0.0012097088958079316,-0.8143471866870717,0.6549246980396553,0.03203385785567217,0.34680986404418945
