cost,SR,IR,rmse,max_value,operation_time
60,0.0466496803811325,0.44647602497869077,0.39285974706484444,-0.0132518270066513,0.45099306106567383
70,0.0466496803811325,-0.01081720106838295,0.3640429022068776,-0.0132518270066513,0.41792845726013184
80,0.0466496803811325,0.05922544496209043,0.35677976706512254,-0.0132518270066513,0.4174036979675293
90,0.0466496803811325,0.05973697284407411,0.35680432325322725,-0.0132518270066513,0.4109361171722412
100,-0.016844095515961173,-0.11161791297089638,0.37019975688906065,0.050241948890442374,0.41713786125183105
110,-0.016844095515961173,-0.1500869991453782,0.3731732720245901,0.050241948890442374,0.4145026206970215
120,-0.016844095515961173,-0.01748389092227836,0.36406699354910205,0.050241948890442374,0.41426634788513184
130,-0.016844095515961173,-0.011056090319570978,0.3637957896081136,0.050241948890442374,0.412445068359375
140,-0.016844095515961173,0.05244055793668448,0.3573223730210983,0.050241948890442374,0.4155764579772949
150,-0.016844095515961173,0.09455045163385917,0.3576955966600618,0.050241948890442374,0.41737866401672363
