cost,SR,IR,rmse,max_value,operation_time
60,0.03877631794208525,0.4730190231239392,0.3960328260155372,-0.0053784645676040466,0.9412024021148682
70,0.03877631794208525,0.03891678475548903,0.3582785580605005,-0.0053784645676040466,0.9169490337371826
80,0.03877631794208525,0.03463327286783438,0.3576507355082487,-0.0053784645676040466,0.9170548915863037
90,0.03877631794208525,0.03387407572130309,0.3575223269215115,-0.0053784645676040466,0.9207382202148438
100,0.03877631794208525,0.033882739844270274,0.3575101221414495,-0.0053784645676040466,0.9160425662994385
110,0.03877631794208525,0.03388273933251242,0.35751045932609377,-0.0053784645676040466,0.9178445339202881
120,0.03877631794208525,0.033882501606482276,0.3575112725272825,-0.0053784645676040466,0.9245355129241943
130,0.03877631794208525,0.033832001869075354,0.35760527485957877,-0.0053784645676040466,0.9205873012542725
140,0.03877631794208525,0.015750463409442444,0.3602965604573554,-0.0053784645676040466,0.9232540130615234
150,0.03877631794208525,0.008771320591566122,0.3613339971769155,-0.0053784645676040466,0.9216752052307129
