cost,SR,operation_time
60.0,0.033,156.60270929336548
70.0,0.033,163.3925850391388
80.0,0.033,175.34071373939514
90.0,0.033,172.69866847991943
100.0,0.033,178.70669102668762
110.0,0.033,183.82575869560242
120.0,0.033,189.27695608139038
130.0,0.033,194.85246801376343
140.0,0.033,200.62987995147705
150.0,0.033,207.1929829120636
