cost,SR,max_value,operation_time
50.0,40.70210134279964,209.29789865720036,0.0
51.0,40.70210134279964,209.29789865720036,111.88505101203918
54.0,40.70210134279964,209.29789865720036,10.521302938461304
55.0,40.70210134279964,209.29789865720036,10.267004489898682
56.0,30.294142674672543,219.70585732532746,9.986528635025024
57.0,30.294142674672543,219.70585732532746,10.203745126724243
58.0,30.294142674672543,219.70585732532746,10.179337501525879
59.0,30.294142674672543,219.70585732532746,10.236167907714844
60.0,30.294142674672543,219.70585732532746,9.802144765853882
61.0,30.294142674672543,219.70585732532746,9.816291809082031
62.0,30.294142674672543,219.70585732532746,9.870999097824097
63.0,30.294142674672543,219.70585732532746,10.186309814453125
64.0,30.294142674672543,219.70585732532746,10.070465326309204
65.0,30.294142674672543,219.70585732532746,10.330060482025146
66.0,30.294142674672543,219.70585732532746,10.252421140670776
67.0,30.294142674672543,219.70585732532746,10.256596803665161
70.0,30.294142674672543,219.70585732532746,10.626240015029907
71.0,30.294142674672543,219.70585732532746,10.365478277206421
72.0,30.294142674672543,219.70585732532746,10.198882818222046
73.0,30.294142674672543,219.70585732532746,10.344760417938232
74.0,30.294142674672543,219.70585732532746,10.110023021697998
75.0,30.294142674672543,219.70585732532746,10.397692441940308
76.0,30.294142674672543,219.70585732532746,10.638899326324463
77.0,30.294142674672543,219.70585732532746,10.274138927459717
78.0,30.294142674672543,219.70585732532746,10.778114557266235
79.0,30.294142674672543,219.70585732532746,10.877378463745117
80.0,30.294142674672543,219.70585732532746,10.711889743804932
82.0,30.294142674672543,219.70585732532746,11.282434463500977
83.0,30.294142674672543,219.70585732532746,10.869529485702515
84.0,30.294142674672543,219.70585732532746,10.808185577392578
85.0,30.294142674672543,219.70585732532746,10.919074296951294
86.0,30.294142674672543,219.70585732532746,11.007815599441528
89.0,30.294142674672543,219.70585732532746,11.809698343276978
90.0,30.294142674672543,219.70585732532746,11.361945867538452
91.0,30.294142674672543,219.70585732532746,11.609241008758545
92.0,30.294142674672543,219.70585732532746,11.344475269317627
93.0,30.294142674672543,219.70585732532746,11.560485601425171
94.0,30.294142674672543,219.70585732532746,11.682606220245361
95.0,30.294142674672543,219.70585732532746,11.297786474227905
96.0,30.294142674672543,219.70585732532746,11.306756496429443
97.0,30.294142674672543,219.70585732532746,11.826896667480469
98.0,30.294142674672543,219.70585732532746,11.343025207519531
99.0,30.294142674672543,219.70585732532746,11.511133670806885
100.0,30.294142674672543,219.70585732532746,11.405032873153687
102.0,30.294142674672543,219.70585732532746,11.990793943405151
106.0,30.294142674672543,219.70585732532746,12.257102012634277
110.0,30.294142674672543,219.70585732532746,12.943311929702759
111.0,30.294142674672543,219.70585732532746,11.539045333862305
112.0,30.294142674672543,219.70585732532746,11.354232788085938
113.0,30.294142674672543,219.70585732532746,11.25229549407959
114.0,30.294142674672543,219.70585732532746,11.267024040222168
115.0,30.294142674672543,219.70585732532746,11.459238529205322
116.0,30.294142674672543,219.70585732532746,11.406076192855835
117.0,30.294142674672543,219.70585732532746,11.113255023956299
118.0,30.294142674672543,219.70585732532746,11.279577016830444
119.0,30.294142674672543,219.70585732532746,10.732453107833862
120.0,30.294142674672543,219.70585732532746,10.760516166687012
121.0,30.294142674672543,219.70585732532746,10.688407897949219
122.0,30.294142674672543,219.70585732532746,10.790706634521484
123.0,30.294142674672543,219.70585732532746,10.667573690414429
124.0,30.294142674672543,219.70585732532746,10.494736433029175
125.0,30.294142674672543,219.70585732532746,10.705435991287231
126.0,30.294142674672543,219.70585732532746,10.807554960250854
127.0,30.294142674672543,219.70585732532746,10.573383808135986
130.0,30.294142674672543,219.70585732532746,11.978654861450195
131.0,30.294142674672543,219.70585732532746,10.935428619384766
132.0,30.294142674672543,219.70585732532746,11.257319688796997
137.0,30.294142674672543,219.70585732532746,13.381612777709961
138.0,30.294142674672543,219.70585732532746,11.218096017837524
139.0,30.294142674672543,219.70585732532746,10.96144962310791
142.0,30.294142674672543,219.70585732532746,12.021685600280762
143.0,30.294142674672543,219.70585732532746,11.147880792617798
147.0,30.294142674672543,219.70585732532746,12.79408073425293
