cost,SR,IR,max_value,operation_time
53.0,0.12960002384185776,0.30095028905565546,1.4704000000000002,51.433377504348755
55.0,0.12960002384185776,0.3362962300959227,1.0889,8.900315999984741
56.0,0.12960002384185776,0.28679652590329496,1.2775,8.114320039749146
62.0,0.12960002384185776,0.3254621309561796,1.2136,8.968592643737793
68.0,0.12960002384185776,0.25488482831531933,1.1023,8.85402774810791
69.0,0.12960002384185776,0.2877294756446267,1.3999000000000001,8.072795629501343
71.0,0.12960002384185776,0.27967043206941367,1.3665,8.55184531211853
72.0,0.12960002384185776,0.27089248688226975,1.1496,8.399014949798584
76.0,0.12960002384185776,0.24357307037222742,1.1956,8.776039600372314
78.0,0.12960002384185776,0.29366471383568227,1.2712,8.681749105453491
86.0,0.12960002384185776,0.28488395368983577,1.37,8.4599609375
89.0,0.12960002384185776,0.27808497307302926,1.141,8.70506501197815
96.0,0.12960002384185776,0.3731194857301423,1.3737000000000001,8.948753595352173
97.0,0.12960002384185776,0.19612580108163846,1.1656,8.580060005187988
98.0,0.12960002384185776,0.20361606351352135,1.3889,8.156232357025146
99.0,0.12960002384185776,0.374744279746519,1.3071000000000002,8.654181718826294
100.0,0.12960002384185776,0.2660295891944693,1.3838000000000001,8.50755000114441
108.0,0.12960002384185776,0.1849162562622717,1.316,9.909788608551025
114.0,0.12960002384185776,0.186223263432161,1.1713,9.155325174331665
115.0,0.12960002384185776,0.1889005310679328,1.1296000000000002,8.921792030334473
122.0,0.12960002384185776,0.21700149131076096,1.067,9.752094268798828
124.0,0.12960002384185776,0.17486897423637426,1.3949,9.412303686141968
128.0,0.12960002384185776,0.1977205654982972,1.2064000000000001,9.26865530014038
130.0,0.12960002384185776,0.21990814420129912,1.2322,8.634209394454956
135.0,0.12960002384185776,0.18246848518324743,1.0831,9.405965805053711
137.0,0.12960002384185776,0.18322764773346578,1.3013000000000001,7.882168531417847
138.0,0.12960002384185776,0.18849552663449276,1.1313,8.707886695861816
143.0,0.12960002384185776,0.18971530946303394,1.3357,9.539432287216187
147.0,0.12960002384185776,0.16556107477074722,1.2357,9.79769253730774
148.0,0.12960002384185776,0.17999065577125584,1.0671000000000002,9.01177978515625
151.0,0.12960002384185776,0.16212363953761866,1.1066,9.221776723861694
