cost,SR,IR,max_value,operation_time
52.0,0.21010002384185777,0.3974983637991838,1.3899000000000001,44.54431509971619
55.0,0.21010002384185777,0.423373035121708,1.1655,5.429803133010864
57.0,0.21010002384185777,0.4416837185477589,1.1099,5.967408895492554
58.0,0.21010002384185777,0.43811381254063253,1.2775,4.870094299316406
64.0,0.21010002384185777,0.43550269974517897,1.2136,5.808162450790405
70.0,0.21010002384185777,0.4386889011279733,1.1023,5.360647678375244
71.0,0.20010002384185777,0.43071759448189484,1.3999000000000001,4.565386533737183
73.0,0.20010002384185777,0.42174257381899105,1.3665,5.405874729156494
74.0,0.20010002384185777,0.42327145326848603,1.1496,5.498500823974609
75.0,0.20010002384185777,0.4283893465773123,1.0607,5.585541725158691
80.0,0.20010002384185777,0.4218178698437083,1.3526,6.38921332359314
88.0,0.20010002384185777,0.4144382695214701,1.37,5.861909866333008
91.0,0.20010002384185777,0.41626759261923274,1.141,6.287832260131836
98.0,0.20010002384185777,0.409785982132864,1.3737000000000001,6.412060737609863
99.0,0.20010002384185777,0.41142946107868106,1.1656,5.759560585021973
100.0,0.20010002384185777,0.40681173231442824,1.3889,6.234033107757568
101.0,0.20010002384185777,0.40318699022723803,1.3071000000000002,5.3875038623809814
102.0,0.20010002384185777,0.3983562497240343,1.3838000000000001,5.466246843338013
103.0,0.20010002384185777,0.40165483369292065,1.1032,5.818844556808472
106.0,0.20010002384185777,0.40470102354519844,1.1098000000000001,5.6309967041015625
107.0,0.20010002384185777,0.4069160578469109,1.1296000000000002,5.4829559326171875
114.0,0.20010002384185777,0.41040949472916544,1.067,6.210363149642944
116.0,0.20010002384185777,0.4057515845694346,1.3949,4.799684286117554
120.0,0.20010002384185777,0.4055681182723736,1.2064000000000001,6.059663772583008
126.0,0.20010002384185777,0.4021770185308926,1.3315000000000001,5.9001078605651855
127.0,0.20010002384185777,0.4015325828547114,1.2337,5.056413888931274
129.0,0.20010002384185777,0.39922326474717607,1.3013000000000001,5.417317628860474
130.0,0.20010002384185777,0.40105919243445065,1.1313,6.546157360076904
131.0,0.20010002384185777,0.4044919096252284,1.0561,5.8473193645477295
132.0,0.20010002384185777,0.40774657393447056,1.0613000000000001,5.337616920471191
133.0,0.20010002384185777,0.4107162923013987,1.0671000000000002,5.5408124923706055
136.0,0.20010002384185777,0.41274376721018435,1.1066,5.884397983551025
139.0,0.20010002384185777,0.40952902572518846,1.3616000000000001,5.703042268753052
148.0,0.20010002384185777,0.41090261772568315,1.1247,6.883256673812866
149.0,0.20010002384185777,0.4080976783164023,1.3574000000000002,5.764043807983398
153.0,0.20010002384185777,0.4074446263786493,1.2281,5.818614959716797
