cost,SR,IR,max_value,operation_time
56.0,0.1264000238418579,0.3041663425532821,1.4736,50.18583273887634
62.0,0.1071000238418578,0.2224116910730014,1.4929000000000001,7.4287519454956055
68.0,0.1071000238418578,0.17274702738708259,1.4604000000000001,8.161750316619873
73.0,0.1071000238418578,0.3023193800855428,1.1453,7.765078544616699
79.0,0.055600023841857915,0.2234070802611159,1.5444,7.697023153305054
86.0,0.055600023841857915,0.23809554034172797,1.1559000000000001,6.76922869682312
92.0,0.055600023841857915,0.22498734637985818,1.4962,7.437098741531372
97.0,0.055600023841857915,-0.0696928269063346,1.3379,7.581223249435425
104.0,0.055600023841857915,0.28490539163830575,1.0599,7.901688098907471
110.0,0.055600023841857915,0.17256457885898735,1.495,8.63144564628601
116.0,0.055600023841857915,0.2153902839963704,1.1394,9.081264972686768
121.0,0.055600023841857915,0.21759073265374784,1.1679000000000002,8.49857234954834
127.0,0.055600023841857915,0.1973162492343472,1.3806,8.4996976852417
131.0,0.055600023841857915,0.3031109342610605,1.4561000000000002,8.430835485458374
137.0,0.055600023841857915,0.23954241345271177,1.1751,9.23857855796814
143.0,0.02080002384185775,0.19337144654222338,1.5792000000000002,8.432221174240112
149.0,0.02080002384185775,0.20715244956697232,1.1522000000000001,9.444952726364136
155.0,0.02080002384185775,0.20232060447527722,1.1569,9.34430980682373
