cost,SR,operation_time,time
0.0,0.033,10.080096244812012,10.080096244812012
6.0,0.2879010813236237,0.0004913806915283203,0.0006191730499267578
7.0,0.13480997103452683,0.0005273818969726562,0.00048804283142089844
8.0,0.13480997103452683,0.0007007122039794922,0.0005161762237548828
12.0,0.04227835702896118,0.00049591064453125,0.000682830810546875
17.0,0.04227835702896118,0.0005991458892822266,0.0008141994476318359
19.0,0.037175410605967046,0.0007605552673339844,0.0009083747863769531
20.0,0.037175410605967046,0.0006544589996337891,0.0010437965393066406
29.0,0.01327043603360653,0.000568389892578125,0.0009992122650146484
37.0,0.01327043603360653,0.0006220340728759766,0.0007188320159912109
38.0,0.01327043603360653,0.0012900829315185547,0.0007002353668212891
41.0,0.01327043603360653,0.001529693603515625,0.0008199214935302734
45.0,0.01327043603360653,0.0005104541778564453,0.0009441375732421875
48.0,0.01327043603360653,0.0005791187286376953,0.0012958049774169922
50.0,0.01327043603360653,0.0005478858947753906,0.001230478286743164
51.0,0.01327043603360653,0.0005273818969726562,0.0015194416046142578
56.0,0.01327043603360653,0.0004062652587890625,0.0010285377502441406
62.0,0.01327043603360653,0.0005726814270019531,0.001508951187133789
63.0,0.01327043603360653,0.0005807876586914062,0.002150297164916992
65.0,0.01327043603360653,0.0005478858947753906,0.0018193721771240234
68.0,0.01327043603360653,0.0005571842193603516,0.0022220611572265625
69.0,0.01327043603360653,0.0006291866302490234,0.0021238327026367188
70.0,0.01327043603360653,0.0005586147308349609,0.002683877944946289
71.0,0.01327043603360653,0.0010175704956054688,0.0028922557830810547
73.0,0.01327043603360653,0.0005507469177246094,0.003992557525634766
76.0,0.01327043603360653,0.00044155120849609375,0.0031549930572509766
77.0,0.01327043603360653,0.0004992485046386719,0.0028676986694335938
78.0,0.01327043603360653,0.0005295276641845703,0.0024077892303466797
79.0,0.01327043603360653,0.0005438327789306641,0.002560138702392578
80.0,0.01327043603360653,0.0004909038543701172,0.004885673522949219
81.0,0.01327043603360653,0.00048065185546875,0.002259969711303711
82.0,0.01327043603360653,0.0013093948364257812,0.003175020217895508
83.0,0.01327043603360653,0.0004723072052001953,0.001810312271118164
84.0,0.01327043603360653,0.0007519721984863281,0.0026197433471679688
85.0,0.01327043603360653,0.0005156993865966797,0.002216815948486328
86.0,0.01327043603360653,0.0005290508270263672,0.0017113685607910156
87.0,0.01327043603360653,0.0005290508270263672,0.0017244815826416016
88.0,0.01327043603360653,0.0003724098205566406,0.0017659664154052734
89.0,0.01327043603360653,0.0006666183471679688,0.003148317337036133
90.0,0.01327043603360653,0.0003972053527832031,0.0036630630493164062
91.0,0.01327043603360653,0.00041866302490234375,0.0036773681640625
95.0,0.01327043603360653,0.0004649162292480469,0.00458979606628418
96.0,0.01327043603360653,0.0005013942718505859,0.002680063247680664
97.0,0.01327043603360653,0.00037384033203125,0.0031130313873291016
98.0,0.01327043603360653,0.0005037784576416016,0.0021185874938964844
99.0,0.01327043603360653,0.00034689903259277344,0.003388643264770508
100.0,0.01327043603360653,0.0004811286926269531,0.003018617630004883
101.0,0.01327043603360653,0.0003769397735595703,0.0021789073944091797
102.0,0.01327043603360653,0.0005228519439697266,0.0030977725982666016
103.0,0.01327043603360653,0.0003535747528076172,0.004458427429199219
104.0,0.01327043603360653,0.0005300045013427734,0.003308534622192383
105.0,0.01327043603360653,0.00034880638122558594,0.0032167434692382812
106.0,0.01327043603360653,0.00036978721618652344,0.0035233497619628906
107.0,0.01327043603360653,0.00037288665771484375,0.004908084869384766
108.0,0.01327043603360653,0.0005602836608886719,0.002552032470703125
109.0,0.01327043603360653,0.0004749298095703125,0.0027170181274414062
110.0,0.01327043603360653,0.0004589557647705078,0.0028548240661621094
111.0,0.01327043603360653,0.0003883838653564453,0.005635499954223633
112.0,0.01327043603360653,0.0005419254302978516,0.0031583309173583984
113.0,0.01327043603360653,0.0004885196685791016,0.002921581268310547
114.0,0.01327043603360653,0.0005128383636474609,0.0033347606658935547
115.0,0.01327043603360653,0.00038433074951171875,0.004129886627197266
116.0,0.01327043603360653,0.0003972053527832031,0.006711006164550781
117.0,0.01327043603360653,0.0005562305450439453,0.0068340301513671875
118.0,0.01327043603360653,0.0005152225494384766,0.0052793025970458984
119.0,0.01327043603360653,0.0009334087371826172,0.006232023239135742
120.0,0.01327043603360653,0.0005099773406982422,0.0049686431884765625
121.0,0.01327043603360653,0.0005552768707275391,0.005514860153198242
122.0,0.01327043603360653,0.0008554458618164062,0.00509953498840332
123.0,0.01327043603360653,0.0003151893615722656,0.003906726837158203
124.0,0.01327043603360653,0.0005311965942382812,0.005721330642700195
125.0,0.01327043603360653,0.0007009506225585938,0.006903409957885742
126.0,0.01327043603360653,0.0004978179931640625,0.005385160446166992
133.0,0.01327043603360653,0.0005447864532470703,0.0050830841064453125
134.0,0.01327043603360653,0.0006432533264160156,0.005968332290649414
135.0,0.01327043603360653,0.0005171298980712891,0.004895210266113281
136.0,0.01327043603360653,0.0005242824554443359,0.005352020263671875
143.0,0.01327043603360653,0.0006606578826904297,0.005088090896606445
144.0,0.01327043603360653,0.0003993511199951172,0.0035889148712158203
145.0,0.01327043603360653,0.0003821849822998047,0.004255771636962891
146.0,0.01327043603360653,0.000415802001953125,0.005217790603637695
147.0,0.01327043603360653,0.0005242824554443359,0.004662275314331055
148.0,0.01327043603360653,0.0015611648559570312,0.006381511688232422
149.0,0.01327043603360653,0.0009469985961914062,0.004885435104370117
158.0,0.01327043603360653,0.0003762245178222656,0.007529020309448242
159.0,0.01327043603360653,0.0003695487976074219,0.0066258907318115234
160.0,0.01327043603360653,0.0003561973571777344,0.011139631271362305
161.0,0.01327043603360653,0.0005040168762207031,0.006970405578613281
162.0,0.01327043603360653,0.0003819465637207031,0.006804943084716797
163.0,0.01327043603360653,0.0003609657287597656,0.006058692932128906
164.0,0.01327043603360653,0.0005519390106201172,0.006277799606323242
166.0,0.01327043603360653,0.00040459632873535156,0.0052149295806884766
